NbrIns,RapIns,CodCirc,Inscrits
      80 535," 100,00",00101,80535
      83 244," 100,00",00102,83244
      77 412," 100,00",00103,77412
      98 265," 100,00",00104,98265
      70 131," 100,00",00201,70131
      73 005," 100,00",00202,73005
      72 654," 100,00",00203,72654
      76 159," 100,00",00204,76159
      75 538," 100,00",00205,75538
      57 891," 100,00",00301,57891
      65 642," 100,00",00302,65642
      70 143," 100,00",00303,70143
      62 819," 100,00",00304,62819
      53 757," 100,00",00401,53757
      55 399," 100,00",00402,55399
      52 838," 100,00",00501,52838
      42 511," 100,00",00502,42511
      61 563," 100,00",00601,61563
      67 364," 100,00",00602,67364
      72 584," 100,00",00603,72584
      70 354," 100,00",00604,70354
      83 333," 100,00",00605,83333
      95 017," 100,00",00606,95017
      60 983," 100,00",00608,60983
      94 702," 100,00",00609,94702
      68 975," 100,00",00701,68975
      83 126," 100,00",00702,83126
      68 117," 100,00",00703,68117
      70 389," 100,00",00801,70389
      64 150," 100,00",00802,64150
      54 064," 100,00",00901,54064
      55 173," 100,00",00902,55173
      55 574," 100,00",01001,55574
      68 832," 100,00",01002,68832
      69 853," 100,00",01003,69853
      65 669," 100,00",01101,65669
      99 717," 100,00",01102,99717
      71 634," 100,00",01103,71634
      72 566," 100,00",01201,72566
      71 860," 100,00",01202,71860
      70 318," 100,00",01203,70318
      55 164," 100,00",01301,55164
      43 095," 100,00",01303,43095
      42 836," 100,00",01304,42836
      47 847," 100,00",01305,47847
      63 488," 100,00",01306,63488
      46 636," 100,00",01307,46636
      64 342," 100,00",01308,64342
      83 557," 100,00",01309,83557
     112 111," 100,00",01310,112111
      88 352," 100,00",01311,88352
     100 029," 100,00",01312,100029
      83 411," 100,00",01313,83411
      91 027," 100,00",01314,91027
      90 026," 100,00",01315,90026
      79 399," 100,00",01316,79399
      69 518," 100,00",01401,69518
      64 787," 100,00",01402,64787
      71 620," 100,00",01403,71620
      94 415," 100,00",01405,94415
      83 596," 100,00",01406,83596
      64 053," 100,00",01501,64053
      62 611," 100,00",01601,62611
      60 799," 100,00",01602,60799
      69 338," 100,00",01603,69338
      62 748," 100,00",01604,62748
      87 545," 100,00",01701,87545
      83 250," 100,00",01702,83250
      76 495," 100,00",01703,76495
      81 861," 100,00",01704,81861
      89 664," 100,00",01705,89664
      74 211," 100,00",01801,74211
      68 779," 100,00",01802,68779
      85 521," 100,00",01803,85521
      65 465," 100,00",01901,65465
      66 323," 100,00",01902,66323
      52 525," 100,00",01903,52525
      63 487," 100,00",02101,63487
      58 518," 100,00",02102,58518
      63 336," 100,00",02103,63336
      77 579," 100,00",02105,77579
      83 801," 100,00",02201,83801
      86 069," 100,00",02202,86069
