Nom,Prenom,Civilite,LibNua,NumDepCand,Voix,RapVoixExp,CodCirc,NbVoix,RapportExprimes
GODIN,ANDRE,M.,Socialiste,2,      19 817,"  42,60",00101,19817,42.6
BERTRAND,J.MICHEL,M.,Union pour la majorité présidentielle,3,      26 697,"  57,40",00101,26697,57.4
GUICHON,LUCIEN,M.,Union pour la majorité présidentielle,6,      25 811,"  61,89",00102,25811,61.89
DRUT-GORJU,ELIANE,Mme,Socialiste,22,      15 891,"  38,11",00102,15891,38.11
BERTRAND,HUBERT,M.,Radical de gauche,20,      16 094,"  40,08",00103,16094,40.08
BLANC,ETIENNE,M.,Union pour la majorité présidentielle,21,      24 060,"  59,92",00103,24060,59.92
VOISIN,MICHEL,M.,Union pour la majorité présidentielle,4,      33 671,"  63,50",00104,33671,63.5
RAYMOND,MICHEL,M.,Socialiste,36,      19 358,"  36,50",00104,19358,36.5
LAMANT,j.claude,M.,Divers droite,16,      18 454,"  45,61",00201,18454,45.61
DOSIERE,rené,M.,Socialiste,52,      22 010,"  54,39",00201,22010,54.39
GRZEGRZULKA,odette,Mme,Socialiste,2,      19 316,"  43,04",00202,19316,43.04
BERTRAND,xavier,M.,Union pour la majorité présidentielle,3,      25 565,"  56,96",00202,25565,56.96
GARIN,annick,Mme,Union pour la majorité présidentielle,30,      16 667,"  39,44",00203,16667,39.44
BALLIGAND,j.pierre,M.,Socialiste,58,      25 589,"  60,56",00203,25589,60.56
ERRASTI,edith,Mme,Union pour la majorité présidentielle,26,      19 662,"  45,37",00204,19662,45.37
DESALLANGRE,jacques,M.,Divers gauche,39,      23 673,"  54,63",00204,23673,54.63
BRIFFAUT,franck,M.,Front national,8,      10 065,"  26,61",00205,10065,26.61
DUTREIL,renaud,M.,Union pour la majorité présidentielle,10,      27 758,"  73,39",00205,27758,73.39
COLCOMBET,FRANCOIS,M.,Socialiste,3,      18 218,"  49,88",00301,18218,49.88
PERISSOL,Pierre-André,M.,Union pour la majorité présidentielle,26,      18 302,"  50,12",00301,18302,50.12
GOLDBERG,PIERRE,M.,Communiste,35,      21 231,"  50,08",00302,21231,50.08
DUGLERY,Daniel,M.,Union pour la majorité présidentielle,42,      21 167,"  49,92",00302,21167,49.92
SIMON,Yves,M.,Union pour la majorité présidentielle,1,      23 202,"  50,72",00303,23202,50.72
MAIRAL,Jean-Claude,M.,Communiste,4,      22 546,"  49,28",00303,22546,49.28
CHARASSE,GERARD,M.,Radical de gauche,24,      20 492,"  51,79",00304,20492,51.79
MALHURET,Claude,M.,Union pour la majorité présidentielle,52,      19 075,"  48,21",00304,19075,48.21
GALIZI,FRANCIS,M.,Union pour la majorité présidentielle,6,      16 379,"  49,21",00401,16379,49.21
BIANCO,J.LOUIS,M.,Socialiste,7,      16 907,"  50,79",00401,16907,50.79
SPAGNOU,DANIEL,M.,Union pour la majorité présidentielle,23,      20 402,"  59,91",00402,20402,59.91
HONDE,ROBERT,M.,Radical de gauche,31,      13 654,"  40,09",00402,13654,40.09
MARTINEZ,HENRIETTE,Mme,Union pour la majorité présidentielle,6,      17 655,"  52,70",00501,17655,52.7
CHEVALLIER,DANIEL,M.,Socialiste,9,      15 847,"  47,30",00501,15847,47.3
GIRAUD,JOEL,M.,Radical de gauche,1,      13 947,"  50,90",00502,13947,50.9
DUSSERRE,J.YVES,M.,Union pour la majorité présidentielle,10,      13 454,"  49,10",00502,13454,49.1
RIVIERE,JEROME,M.,Union pour la majorité présidentielle,12,      17 303,"  58,14",00601,17303,58.14
ALLEMAND,PATRICK,M.,Socialiste,87,      12 458,"  41,86",00601,12458,41.86
MARLAND,MURIEL,Mme,Union pour la majorité présidentielle,19,      16 431,"  46,09",00602,16431,46.09
MOTTARD,PATRICK,M.,Socialiste,42,      12 046,"  33,79",00602,12046,33.79
STIRBOIS,M.FRANCE,Mme,Front national,93,       7 176,"  20,13",00602,7176,20.13
SALLES,RUDY,M.,Union pour la démocratie française,14,      22 280,"  71,00",00603,22280,71.0
GERARD,ISABELLE,Mme,Front national,94,       9 101,"  29,00",00603,9101,29.0
MATHIEU,MONIQUE,Mme,Front national,22,      10 446,"  31,44",00604,10446,31.44
GUIBAL,J.CLAUDE,M.,Union pour la majorité présidentielle,39,      22 780,"  68,56",00604,22780,68.56
THIERY,JEAN,M.,Front national,7,      10 424,"  26,69",00605,10424,26.69
ESTROSI,CHRISTIAN,M.,Union pour la majorité présidentielle,45,      28 629,"  73,31",00605,28629,73.31
DAMIANI,ANTOINE,M.,Socialiste,51,      17 563,"  33,23",00606,17563,33.23
LUCA,LIONNEL,M.,Union pour la majorité présidentielle,96,      35 296,"  66,77",00606,35296,66.77
MALEN,J.PIERRE,M.,Front national,27,       8 719,"  27,83",00608,8719,27.83
BROCHAND,BERNARD,M.,Union pour la majorité présidentielle,75,      22 605,"  72,17",00608,22605,72.17
ASCHIERI,ANDRE,M.,Les Verts,41,      28 779,"  49,48",00609,28779,49.48
TABAROT,MICHELE,Mme,Union pour la majorité présidentielle,109,      29 385,"  50,52",00609,29385,50.52
TERRASSE,PASCAL,M.,Socialiste,1,      24 099,"  54,45",00701,24099,54.45
VALLA,MICHEL,M.,Union pour la majorité présidentielle,2,      20 159,"  45,55",00701,20159,45.55
ROLIN,CATHERINE,Mme,Socialiste,4,      22 835,"  46,16",00702,22835,46.16
WEBER,GERARD,M.,Union pour la majorité présidentielle,13,      26 634,"  53,84",00702,26634,53.84
FLORY,JEAN-CLAUDE,M.,Union pour la majorité présidentielle,7,      24 746,"  57,23",00703,24746,57.23
ALAIZE,STEPHANE,M.,Socialiste,31,      18 493,"  42,77",00703,18493,42.77
LEDOUX,CLAUDINE,Mme,Socialiste,1,      19 198,"  46,02",00801,19198,46.02
POLETTI,Bérengère,Mme,Union pour la majorité présidentielle,2,      22 522,"  53,98",00801,22522,53.98
VUILQUE,PHILIPPE,M.,Socialiste,6,      18 838,"  53,18",00802,18838,53.18
MATHOT,Philippe,M.,Union pour la majorité présidentielle,19,      16 583,"  46,82",00802,16583,46.82
BONREPAUX,AUGUSTIN,M.,Socialiste,1,      20 496,"  66,57",00901,20496,66.57
MARIS,YVES,M.,Union pour la majorité présidentielle,21,      10 294,"  33,43",00901,10294,33.43
NAYROU,HENRI,M.,Socialiste,2,      21 033,"  61,75",00902,21033,61.75
MAURAT,P.LOUIS,M.,Union pour la majorité présidentielle,11,      13 030,"  38,25",00902,13030,38.25
MICAUX,PIERRE,M.,Union pour la majorité présidentielle,17,      17 313,"  56,64",01001,17313,56.64
BRET,LINE,Mme,Socialiste,18,      13 252,"  43,36",01001,13252,43.36
FOURNIER,YVES,M.,Socialiste,13,      16 179,"  41,55",01002,16179,41.55
MATHIS,J.CLAUDE,M.,Union pour la majorité présidentielle,29,      22 760,"  58,45",01002,22760,58.45
BAROIN,FRANCOIS,M.,Union pour la majorité présidentielle,1,      23 467,"  62,98",01003,23467,62.98
DELPLANQUE,FRANCOISE,Mme,Les Verts,11,      13 795,"  37,02",01003,13795,37.02
LARRAT,Gérard,M.,Union pour la majorité présidentielle,1,      18 414,"  44,54",01101,18414,44.54
PEREZ,J.CLAUDE,M.,Socialiste,6,      22 924,"  55,46",01101,22924,55.46
BASCOU,JACQUES,M.,Socialiste,7,      34 244,"  55,91",01102,34244,55.91
PY,Michel,M.,Union pour la majorité présidentielle,8,      27 008,"  44,09",01102,27008,44.09
DENUX,Monique,Mme,Union pour la démocratie française,13,      19 261,"  41,80",01103,19261,41.8
DUPRE,J.PAUL,M.,Socialiste,14,      26 815,"  58,20",01103,26815,58.2
CLUZEL,ANNE-MARIE,Mme,Socialiste,28,      19 840,"  43,22",01201,19840,43.22
CENSI,YVES,M.,Union pour la majorité présidentielle,41,      26 068,"  56,78",01201,26068,56.78
ROQUES,SERGE,M.,Union pour la majorité présidentielle,7,      25 184,"  53,00",01202,25184,53.0
POUZOULET,J.PIERRE,M.,Socialiste,21,      22 333,"  47,00",01202,22333,47.0
GODFRAIN,JACQUES,M.,Union pour la majorité présidentielle,6,      28 993,"  61,46",01203,28993,61.46
FAUCONNIER,ALAIN,M.,Socialiste,26,      18 184,"  38,54",01203,18184,38.54
BLUM,ROLAND,M.,Union pour la majorité présidentielle,99,      17 879,"  60,18",01301,17879,60.18
CARLOTTI,M.ARLETTE,Mme,Socialiste,166,      11 829,"  39,82",01301,11829,39.82
MALAUZAT,GABRIEL,M.,Socialiste,52,       9 436,"  42,83",01303,9436,42.83
ROATTA,JEAN,M.,Union pour la majorité présidentielle,80,      12 595,"  57,17",01303,12595,57.17
BAUMANN,J.PIERRE,M.,Front national,60,       7 208,"  35,20",01304,7208,35.2
DUTOIT,FREDERIC,M.,Communiste,89,      13 272,"  64,80",01304,13272,64.8
MUSELIER,RENAUD,M.,Union pour la majorité présidentielle,4,      17 095,"  75,54",01305,17095,75.54
RAYE,M.ODILE,Mme,Front national,140,       5 534,"  24,46",01305,5534,24.46
TEISSIER,GUY,M.,Union pour la majorité présidentielle,29,      23 106,"  76,07",01306,23106,76.07
CARAYON,MICHELE,Mme,Front national,85,       7 269,"  23,93",01306,7269,23.93
RAVIER,STEPHANE,M.,Front national,26,       8 259,"  36,93",01307,8259,36.93
ANDRIEUX,SYLVIE,Mme,Socialiste,130,      14 105,"  63,07",01307,14105,63.07
DURBEC,STEPHANE,M.,Front national,93,       6 777,"  18,60",01308,6777,18.6
ROCCA SERRA,JACQUES,M.,Union pour la démocratie française,129,      13 426,"  36,84",01308,13426,36.84
MASSE,CHRISTOPHE,M.,Socialiste,194,      16 241,"  44,56",01308,16241,44.56
MELIN,JOELLE,Mme,Front national,2,      10 646,"  26,75",01309,10646,26.75
DEFLESSELLES,BERNARD,M.,Union pour la majorité présidentielle,92,      29 158,"  73,25",01309,29158,73.25
MALLIE,RICHARD,M.,Union pour la majorité présidentielle,75,      34 300,"  54,08",01310,34300,54.08
MEI,ROGER,M.,Communiste,77,      29 124,"  45,92",01310,29124,45.92
ANDREONI,SERGE,M.,Divers gauche,91,      20 258,"  40,68",01311,20258,40.68
KERT,CHRISTIAN,M.,Union pour la majorité présidentielle,132,      29 541,"  59,32",01311,29541,59.32
BURRONI,VINCENT,M.,Socialiste,70,      23 879,"  44,77",01312,23879,44.77
DIARD,ERIC,M.,Union pour la majorité présidentielle,196,      29 457,"  55,23",01312,29457,55.23
VAXES,MICHEL,M.,Communiste,73,      26 204,"  56,59",01313,26204,56.59
FRUCTUS,ARLETTE,Mme,Union pour la majorité présidentielle,94,      20 099,"  43,41",01313,20099,43.41
RUMANI ELBEZ,DANIELLE,Mme,Radical de gauche,8,      22 145,"  41,90",01314,22145,41.9
JOISSAINS MASINI,MARYSE,Mme,Union pour la majorité présidentielle,35,      30 701,"  58,10",01314,30701,58.1
VACHET,LEON,M.,Union pour la majorité présidentielle,47,      28 936,"  58,31",01315,28936,58.31
CHERUBINI,HERVE,M.,Socialiste,95,      20 691,"  41,69",01315,20691,41.69
CHASSAIN,ROLAND,M.,Union pour la majorité présidentielle,45,      23 439,"  50,98",01316,23439,50.98
VAUZELLE,MICHEL,M.,Socialiste,79,      22 540,"  49,02",01316,22540,49.02
DURON,PHILIPPE,M.,Socialiste,86,      20 728,"  49,86",01401,20728,49.86
LE BRETHON,Brigitte,Mme,Union pour la majorité présidentielle,87,      20 844,"  50,14",01401,20844,50.14
THOMAS,Rodolphe,M.,Union pour la démocratie française,21,      18 903,"  51,07",01402,18903,51.07
MEXANDEAU,LOUIS,M.,Socialiste,82,      18 112,"  48,93",01402,18112,48.93
LETEURTRE,Claude,M.,Union pour la démocratie française,41,      23 627,"  56,21",01403,23627,56.21
VALTER,Clotilde,Mme,Socialiste,83,      18 406,"  43,79",01403,18406,43.79
