NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
DUTHU,Monique,Mme,VEC,Les Verts,1411,"   2,75","   1,62",non,00101,2.75,1.62
CATHERIN,Marie-Lucienne,Mme,FN,Front national,2086,"   4,06","   2,40",non,00101,4.06,2.4
DEBAT,Jean-François,M.,SOC,Socialiste,16415,"  31,98","  18,95",Bal.,00101,31.98,18.95
HURET,Odile,Mme,DIV,Divers,448,"   0,87","   0,51",non,00101,0.87,0.51
GUENARD-GERBAUD,Carole,Mme,EXG,Extrême gauche,1162,"   2,26","   1,34",non,00101,2.26,1.34
FLECHON,Jacques,M.,MPF,Mouvement pour la France,1078,"   2,10","   1,24",non,00101,2.1,1.24
FAVRE,Bernard,M.,ECO,Ecologiste,530,"   1,03","   0,61",non,00101,1.03,0.61
LAHY,Eric,M.,EXG,Extrême gauche,300,"   0,58","   0,34",non,00101,0.58,0.34
BRETON,Xavier,M.,UMP,Union pour un Mouvement Populaire,24250,"  47,24","  27,99",Bal.,00101,47.24,27.99
PARIOT,Marc,M.,UDFD,UDF-Mouvement Démocrate,2860,"   5,57","   3,30",non,00101,5.57,3.3
AVINIERE,Pierre,M.,COM,Communiste,789,"   1,54","   0,91",non,00101,1.54,0.91
PIDOUX,Catherine,Mme,RDG,Radical de gauche,9217,"  18,17","   9,96",non,00102,18.17,9.96
DE LA VERPILLIERE,Charles,M.,UMP,Union pour un Mouvement Populaire,27034,"  53,30","  29,23",oui,00102,53.3,29.23
DE LACHEISSERIE,Nicole,Mme,FN,Front national,3333,"   6,57","   3,60",non,00102,6.57,3.6
CHAVET,Raoul,M.,EXG,Extrême gauche,306,"   0,60","   0,33",non,00102,0.6,0.33
CAGNAC,Jacques,M.,VEC,Les Verts,1790,"   3,53","   1,93",non,00102,3.53,1.93
LEGER,Bernard,M.,MPF,Mouvement pour la France,778,"   1,53","   0,84",non,00102,1.53,0.84
LARGERON,Guy,M.,EXG,Extrême gauche,380,"   0,75","   0,41",non,00102,0.75,0.41
PHILIPPE,Katia,Mme,COM,Communiste,1800,"   3,55","   1,94",non,00102,3.55,1.94
MEUNIER,Marie-Lise,Mme,ECO,Ecologiste,629,"   1,24","   0,68",non,00102,1.24,0.68
SEGURET,Jean-Louis,M.,EXD,Extrême droite,380,"   0,75","   0,41",non,00102,0.75,0.41
DAGAND,Yves,M.,EXG,Extrême gauche,1375,"   2,71","   1,48",non,00102,2.71,1.48
FRAY,Michel,M.,CPNT,Chasse Pêche Nature Traditions,485,"   0,96","   0,52",non,00102,0.96,0.52
FERRARESE,Pierre,M.,UDFD,UDF-Mouvement Démocrate,3217,"   6,34","   3,47",non,00102,6.34,3.47
FAURE,Fabienne,Mme,UDFD,UDF-Mouvement Démocrate,5198,"  10,95","   5,99",non,00103,10.95,5.99
VIRARD,Philippe,M.,COM,Communiste,2366,"   4,99","   2,72",non,00103,4.99,2.72
WYSSA,Olivier,M.,FN,Front national,2229,"   4,70","   2,57",non,00103,4.7,2.57
BLANC,Etienne,M.,UMP,Union pour un Mouvement Populaire,23722,"  49,99","  27,36",Bal.,00103,49.99,27.36
RIGAUD,Françoise,Mme,SOC,Socialiste,9018,"  19,01","  10,40",Bal.,00103,19.01,10.4
GOUTAILLER,Dolorès,Mme,EXG,Extrême gauche,308,"   0,65","   0,35",non,00103,0.65,0.35
JUSTON,Maurice,M.,MPF,Mouvement pour la France,555,"   1,17","   0,64",non,00103,1.17,0.64
FAVRE,Maryse,Mme,ECO,Ecologiste,792,"   1,67","   0,91",non,00103,1.67,0.91
