Inscrits,CodCirc
86608,00101
86694,00103
72356,00201
72224,00203
79252,00204
80003,00205
58297,00301
66360,00302
70733,00303
64842,00304
58494,00401
60861,00402
57664,00501
45842,00502
58292,00601
67697,00608
73752,00701
88923,00702
73290,00703
73470,00801
66233,00802
56037,00901
58234,00902
58061,01001
73367,01002
70191,01101
110417,01102
74180,01103
74595,01201
71707,01202
72114,01203
60365,01301
46648,01303
48045,01304
54181,01305
52030,01307
74123,01308
123761,01310
100137,01311
89515,01313
101906,01314
100084,01315
84621,01316
71008,01401
67478,01402
74344,01403
101406,01405
88719,01406
64764,01501
63710,01601
62482,01602
69142,01603
65347,01604
96463,01701
92262,01702
79763,01703
75002,01801
70175,01802
87452,01803
65946,01901
69666,01902
51939,01903
44709,02A01
51549,02B01
60366,02B02
67227,02101
64501,02102
68647,02103
88480,02201
91340,02202
85571,02203
79889,02204
101749,02205
50900,02301
48948,02302
74689,02401
79156,02402
70428,02403
85677,02404
71436,02501
75379,02502
66134,02503
67556,02504
73056,02601
82525,02602
98046,02603
85622,02604
83343,02701
74686,02702
83469,02704
85006,02705
85310,02801
70133,02802
71279,02803
84715,02901
71219,02902
92507,02903
82375,02904
88792,02905
88693,02906
79285,02907
82001,02908
83079,03001
114609,03002
113971,03003
85468,03004
93691,03005
70421,03101
110643,03102
85678,03103
55578,03104
138352,03105
130026,03106
121369,03107
82832,03108
72219,03201
68532,03202
82499,03301
60328,03302
72243,03303
82750,03304
95590,03305
89294,03306
96627,03307
119359,03308
98804,03309
78588,03310
82996,03311
76676,03401
67096,03402
126003,03403
134221,03404
95746,03405
84511,03406
119809,03407
74489,03501
98092,03502
91321,03503
109621,03504
77986,03506
99048,03507
56274,03601
64674,03602
56668,03603
54537,03701
92050,03702
92488,03703
86402,03704
78157,03705
79522,03801
73044,03802
60329,03803
85423,03804
93080,03805
106193,03806
102619,03808
88996,03809
55534,03902
67876,03903
92984,04001
107678,04002
83227,04003
90614,04101
80085,04102
70851,04103
68931,04201
50133,04202
79118,04203
69174,04204
69276,04205
69472,04206
80366,04302
72900,04401
82595,04402
87046,04403
79657,04404
114928,04405
77236,04406
105595,04407
79109,04408
99467,04409
99054,04410
82673,04501
81766,04502
89953,04503
89799,04505
68785,04601
64600,04602
85919,04701
77561,04702
76159,04703
32052,04801
79737,04901
85508,04902
74423,04905
90198,04906
74468,05001
76013,05002
76800,05003
73228,05004
72116,05005
57918,05101
67389,05102
65610,05103
61220,05104
81702,05301
66988,05302
52930,05401
78215,05402
58299,05403
77950,05404
75350,05405
78422,05406
71293,05407
80063,05501
61649,05502
104521,05601
93219,05602
83348,05603
87242,05604
81381,05605
87089,05606
74265,05701
75378,05702
73486,05706
76551,05708
73849,05709
70846,05710
55622,05801
60615,05802
53502,05803
58780,05901
73201,05902
64299,05903
72843,05904
87980,05905
81029,05906
71032,05907
71976,05908
78409,05910
86870,05911
70349,05912
65044,05913
74138,05915
81256,05916
75022,05917
79467,05918
80242,05919
82714,05920
75038,05922
66367,05923
65008,05924
79334,06001
83956,06002
69812,06003
73684,06006
72494,06101
79842,06201
76518,06202
75375,06203
78965,06204
64862,06205
73693,06206
85824,06207
80924,06209
72399,06210
96647,06211
78977,06212
72398,06213
75658,06214
61592,06301
76654,06302
74696,06303
77666,06304
66366,06305
88363,06306
68348,06401
74311,06402
80211,06403
80289,06404
82914,06405
91778,06406
60111,06501
63204,06502
53430,06503
66218,06601
96745,06602
65988,06603
87370,06604
52672,06701
51496,06702
66888,06703
71935,06801
54524,06805
63766,06901
71688,06902
67334,06903
75058,06904
74406,06906
60697,06907
89802,06910
80136,06911
74049,06912
91374,06913
50332,06914
64111,07002
67431,07101
64527,07102
66692,07103
61842,07104
64589,07105
85141,07106
71449,07201
82209,07202
84015,07203
86793,07205
95792,07303
86636,07402
106706,07405
63045,07501
53581,07502
49766,07505
66026,07506
63796,07507
70824,07508
61837,07509
65236,07510
59985,07511
67807,07512
70847,07513
56422,07517
55832,07518
48135,07519
65984,07520
75326,07521
61131,07601
87826,07602
56934,07603
72431,07604
89066,07605
79322,07606
59165,07607
52300,07608
85480,07609
84826,07610
75595,07611
88513,07701
77273,07702
76549,07703
92684,07705
88625,07707
111298,07708
107418,07709
91525,07801
75534,07807
67331,07808
101190,07810
58013,07811
71604,07812
64320,07901
73668,07902
70152,07904
60147,08001
64508,08002
68485,08003
73099,08004
66051,08005
78871,08006
57444,08101
79972,08102
59752,08103
80069,08104
82026,08201
84398,08202
121416,08304
71552,08401
120712,08402
97321,08403
82854,08404
95366,08501
91771,08502
82889,08601
73476,08602
67729,08603
75889,08604
54280,08701
74002,08702
66256,08703
72013,08704
75670,08802
69404,08804
79127,08901
73863,08902
93239,08903
46745,09001
47484,09002
67362,09101
93545,09103
84637,09104
65743,09105
73040,09106
71880,09107
74159,09109
60770,09110
59278,09201
62438,09202
67297,09204
68265,09205
66489,09210
65594,09211
85816,09212
85159,09213
50448,09301
50028,09302
45095,09303
45413,09304
53222,09305
60998,09306
49878,09307
60718,09308
55283,09309
52422,09310
58750,09311
61849,09312
69561,09313
54868,09401
64455,09402
68670,09403
70262,09404
61976,09405
77903,09406
58879,09407
51790,09409
61143,09410
57674,09411
64529,09412
76973,09501
114930,09502
83938,09503
71858,09504
64076,09505
72546,09506
80868,09507
48838,09508
65355,09509
62429,97101
88463,97102
81899,97103
70704,97104
60751,97201
61725,97202
62264,97203
103516,97204
22318,97301
40490,97302
83850,97401
108157,97402
126885,97403
93834,97404
100197,97405
64704,97601
68928,98801
77938,98802
93812,98701
73900,98702
4923,97501
11157,98601
