NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
DEBAT,Jean-François,M.,SOC,Socialiste,23953,"  46,34","  27,65",non,00101,46.34,27.65
BRETON,Xavier,M.,UMP,Union pour un Mouvement Populaire,27739,"  53,66","  32,02",oui,00101,53.66,32.02
BLANC,Etienne,M.,UMP,Union pour un Mouvement Populaire,26378,"  60,20","  30,42",oui,00103,60.2,30.42
RIGAUD,Françoise,Mme,SOC,Socialiste,17438,"  39,80","  20,11",non,00103,39.8,20.11
DOSIERE,René,M.,DVG,Divers gauche,24499,"  56,28","  33,85",oui,00201,56.28,33.85
BLANCHARD-DOUCHAIN,Gaëdic,Mme,UMP,Union pour un Mouvement Populaire,19028,"  43,72","  26,29",non,00201,43.72,26.29
BALLIGAND,Jean-Pierre,M.,SOC,Socialiste,24383,"  53,31","  33,76",oui,00203,53.31,33.76
MEURA,Frédéric,M.,UMP,Union pour un Mouvement Populaire,21354,"  46,69","  29,56",non,00203,46.69,29.56
THUIN-MACHEREZ,Brigitte,Mme,UMP,Union pour un Mouvement Populaire,20633,"  45,42","  26,03",non,00204,45.42,26.03
DESALLANGRE,Jacques,M.,DVG,Divers gauche,24792,"  54,58","  31,28",oui,00204,54.58,31.28
JOURDAIN,Dominique,M.,SOC,Socialiste,21471,"  46,04","  26,83",non,00205,46.04,26.83
VASSEUR,Isabelle,Mme,UMP,Union pour un Mouvement Populaire,25167,"  53,96","  31,45",oui,00205,53.96,31.45
PERISSOL,Pierre-André,M.,UMP,Union pour un Mouvement Populaire,17285,"  45,47","  29,64",non,00301,45.47,29.64
CHAMBEFORT,Guy,M.,DVG,Divers gauche,20725,"  54,53","  35,55",oui,00301,54.53,35.55
DUGLERY,Daniel,M.,UMP,Union pour un Mouvement Populaire,20160,"  46,41","  30,37",non,00302,46.41,30.37
LESTERLIN,Bernard,M.,SOC,Socialiste,23278,"  53,59","  35,07",oui,00302,53.59,35.07
SIMON,Yves,M.,UMP,Union pour un Mouvement Populaire,22822,"  49,20","  32,26",non,00303,49.2,32.26
MALLOT,Jean,M.,SOC,Socialiste,23560,"  50,80","  33,30",oui,00303,50.8,33.3
MALHURET,Claude,M.,UMP,Union pour un Mouvement Populaire,18499,"  43,46","  28,52",non,00304,43.46,28.52
CHARASSE,Gérard,M.,RDG,Radical de gauche,24066,"  56,54","  37,11",oui,00304,56.54,37.11
BARREILLE,Eliane,Mme,UMP,Union pour un Mouvement Populaire,18938,"  47,67","  32,37",non,00401,47.67,32.37
BIANCO,Jean-Louis,M.,SOC,Socialiste,20791,"  52,33","  35,54",oui,00401,52.33,35.54
SPAGNOU,Daniel,M.,UMP,Union pour un Mouvement Populaire,20905,"  53,96","  34,34",oui,00402,53.96,34.34
CASTANER,Christophe,M.,SOC,Socialiste,17840,"  46,04","  29,31",non,00402,46.04,29.31
MARTINEZ,Henriette,Mme,UMP,Union pour un Mouvement Populaire,18621,"  51,77","  32,29",oui,00501,51.77,32.29
BERGER,Karine,Mme,SOC,Socialiste,17345,"  48,23","  30,07",non,00501,48.23,30.07
GIRAUD,Joël,M.,RDG,Radical de gauche,17184,"  54,82","  37,48",oui,00502,54.82,37.48
BAYROU,Alain,M.,UMP,Union pour un Mouvement Populaire,14163,"  45,18","  30,89",non,00502,45.18,30.89
ALLEMAND,Patrick,M.,SOC,Socialiste,11780,"  39,08","  20,20",non,00601,39.08,20.2
