NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
1,MALLET,Laurent,M.,MDM,Modem,15114,"  46,25","  18,28",non,00101,46.25,18.28
5,BRETON,Xavier,M.,LR,Les Républicains,17564,"  53,75","  21,25",oui,00101,53.75,21.25
6,BEGUET,Marie Jeanne,Mme,MDM,Modem,17319,"  48,28","  18,52",non,00102,48.28,18.52
8,DE LA VERPILLIÈRE,Charles,M.,LR,Les Républicains,18556,"  51,72","  19,84",oui,00102,51.72,19.84
4,GIVERNET,Olga,Mme,REM,La République en marche,16552,"  61,86","  21,91",oui,00103,61.86,21.91
7,PERNOD BEAUDON,Stéphanie,Mme,LR,Les Républicains,10204,"  38,14","  13,51",non,00103,38.14,13.51
5,TROMPILLE,Stéphane,M.,REM,La République en marche,22532,"  64,50","  25,21",oui,00104,64.5,25.21
10,CHAUSSAT,Blanche,Mme,FN,Front National,12404,"  35,50","  13,88",non,00104,35.5,13.88
9,ABAD,Damien,M.,LR,Les Républicains,19383,"  67,02","  25,74",oui,00105,67.02,25.74
12,DE MEIRE,Hélène,Mme,REM,La République en marche,9538,"  32,98","  12,67",non,00105,32.98,12.67
3,BONO-VANDORME,Aude,Mme,REM,La République en marche,16684,"  56,22","  23,06",oui,00201,56.22,23.06
4,PHILIPPOT,Damien,M.,FN,Front National,12994,"  43,78","  17,96",non,00201,43.78,17.96
1,DIVE,Julien,M.,LR,Les Républicains,19019,"  64,97","  25,71",oui,00202,64.97,25.71
7,SAILLARD-MEUNIER,Sylvie,Mme,FN,Front National,10255,"  35,03","  13,86",non,00202,35.03,13.86
3,BRICOUT,Jean-Louis,M.,SOC,Parti socialiste,17558,"  60,45","  25,79",oui,00203,60.45,25.79
10,HANSEN-CATTA,Paul-Henry,M.,FN,Front National,11487,"  39,55","  16,87",non,00203,39.55,16.87
2,MESSIHA,Jean,M.,FN,Front National,12631,"  43,73","  15,97",non,00204,43.73,15.97
9,DELATTE,Marc,M.,REM,La République en marche,16256,"  56,27","  20,55",oui,00204,56.27,20.55
4,KRABAL,Jacques,M.,REM,La République en marche,19609,"  57,82","  23,85",oui,00205,57.82,23.85
8,DE VOYER,François,M.,FN,Front National,14304,"  42,18","  17,40",non,00205,42.18,17.4
7,RIVIERE,Pauline,Mme,REM,La République en marche,19424,"  48,15","  21,66",non,00301,48.15,21.66
11,DUFRÈGNE,Jean-Paul,M.,COM,Parti communiste français,20915,"  51,85","  23,32",oui,00301,51.85,23.32
2,DUGLÉRY,Daniel,M.,LR,Les Républicains,16027,"  47,95","  18,95",non,00302,47.95,18.95
12,VANCEUNEBROCK-MIALON,Laurence,Mme,REM,La République en marche,17396,"  52,05","  20,57",oui,00302,52.05,20.57
3,PEYROL,Bénédicte,Mme,REM,La République en marche,18480,"  58,43","  23,35",oui,00303,58.43,23.35
6,MAQUIN,Gabriel,M.,LR,Les Républicains,13145,"  41,57","  16,61",non,00303,41.57,16.61
7,BAGARRY,Delphine,Mme,REM,La République en marche,15609,"  63,60","  25,53",oui,00401,63.6,25.53
12,BRUN,Odile,Mme,FN,Front National,8933,"  36,40","  14,61",non,00401,36.4,14.61
5,WALTER,Léo,M.,FI,La France insoumise,10244,"  38,43","  15,68",non,00402,38.43,15.68
6,CASTANER,Christophe,M.,REM,La République en marche,16412,"  61,57","  25,12",oui,00402,61.57,25.12
4,ASSO,Catherine,Mme,LR,Les Républicains,8828,"  42,08","  15,29",non,00501,42.08,15.29
11,BOYER,Pascale,Mme,REM,La République en marche,12151,"  57,92","  21,04",oui,00501,57.92,21.04
1,GIRAUD,Joël,M.,REM,La République en marche,14823,"  68,16","  28,42",oui,00502,68.16,28.42
6,MURGIA,Arnaud,M.,DVD,Divers droite,6923,"  31,84","  13,27",non,00502,31.84,13.27
5,REVERSO-MEINIETTI,Caroline,Mme,REM,La République en marche,15493,"  43,79","  19,25",non,00601,43.79,19.25
8,CIOTTI,Eric,M.,LR,Les Républicains,19888,"  56,21","  24,72",oui,00601,56.21,24.72
1,COCHET,Jérôme,M.,FN,Front National,13483,"  40,92","  15,77",non,00602,40.92,15.77
6,DOMBREVAL,Loîc,M.,REM,La République en marche,19468,"  59,08","  22,77",oui,00602,59.08,22.77
1,ROUSSEL,Cédric,M.,REM,La République en marche,19762,"  60,84","  22,17",oui,00603,60.84,22.17
12,VARDON,Philippe,M.,FN,Front National,12720,"  39,16","  14,27",non,00603,39.16,14.27
7,VALETTA ARDISSON,Alexandra,Mme,REM,La République en marche,17047,"  52,74","  19,92",oui,00604,52.74,19.92
14,BETTATI,Olivier,M.,FN,Front National,15274,"  47,26","  17,85",non,00604,47.26,17.85
3,AGNELY,Chantal,Mme,FN,Front National,12311,"  38,79","  14,01",non,00605,38.79,14.01
6,BRENIER,Marine,Mme,LR,Les Républicains,19425,"  61,21","  22,10",oui,00605,61.21,22.1
1,AUDIN,Nathalie,Mme,MDM,Modem,12680,"  42,65","  16,26",non,00606,42.65,16.26
10,TRASTOUR-ISNART,Laurence,Mme,LR,Les Républicains,17051,"  57,35","  21,86",oui,00606,57.35,21.86
2,PAUGET,Eric,M.,LR,Les Républicains,23278,"  59,45","  25,07",oui,00607,59.45,25.07
13,BEN ABDERRAHMANE,Khaled,M.,REM,La République en marche,15875,"  40,55","  17,10",non,00607,40.55,17.1
9,BUERCH,Philippe,M.,REM,La République en marche,13061,"  42,87","  15,93",non,00608,42.87,15.93
10,BROCHAND,Bernard,M.,LR,Les Républicains,17403,"  57,13","  21,23",oui,00608,57.13,21.23
7,FILLEBEEN,Dominique,Mme,REM,La République en marche,14947,"  46,02","  18,70",non,00609,46.02,18.7
10,TABAROT,Michèle,Mme,LR,Les Républicains,17530,"  53,98","  21,93",oui,00609,53.98,21.93
5,DUPONT,André,M.,REM,La République en marche,12294,"  41,98","  15,78",non,00701,41.98,15.78
14,SAULIGNAC,Hervé,M.,SOC,Parti socialiste,16993,"  58,02","  21,81",oui,00701,58.02,21.81
6,GOUYET-POMMARET,Laurette,Mme,REM,La République en marche,17179,"  43,70","  18,46",non,00702,43.7,18.46
9,DUSSOPT,Olivier,M.,SOC,Parti socialiste,22132,"  56,30","  23,78",oui,00702,56.3,23.78
9,BRUN,Fabrice,M.,LR,Les Républicains,16926,"  54,77","  21,63",oui,00703,54.77,21.63
12,PEYRAUD,Matthieu,M.,REM,La République en marche,13976,"  45,23","  17,86",non,00703,45.23,17.86
1,MORALI,Jean-Pierre,M.,REM,La République en marche,8404,"  30,32","  11,45",non,00801,30.32,11.45
10,POLETTI,Bérengère,Mme,LR,Les Républicains,19311,"  69,68","  26,32",oui,00801,69.68,26.32
3,IGLESIAS,Mario,M.,REM,La République en marche,8530,"  38,95","  13,35",non,00802,38.95,13.35
5,CORDIER,Pierre,M.,LR,Les Républicains,13371,"  61,05","  20,93",oui,00802,61.05,20.93
6,WARSMANN,Jean-Luc,M.,LR,Les Républicains,17678,"  74,72","  30,99",oui,00803,74.72,30.99
7,BLOMME,Amandine,Mme,FN,Front National,5980,"  25,28","  10,48",non,00803,25.28,10.48
2,AZEMA,Jérôme,M.,REM,La République en marche,12633,"  49,72","  22,27",non,00901,49.72,22.27
4,TAURINE,Bénédicte,Mme,FI,La France insoumise,12776,"  50,28","  22,52",oui,00901,50.28,22.52
8,BERTRAND-VINZERICH,Huguette,Mme,REM,La République en marche,12298,"  49,45","  20,27",non,00902,49.45,20.27
9,LARIVE,Michel,M.,FI,La France insoumise,12572,"  50,55","  20,72",oui,00902,50.55,20.72
2,BESSON-MOREAU,Grégory,M.,REM,La République en marche,11339,"  36,46","  17,62",oui,01001,36.46,17.62
3,DHUICQ,Nicolas,M.,LR,Les Républicains,10980,"  35,31","  17,06",non,01001,35.31,17.06
8,SUBTIL,Bruno,M.,FN,Front National,8780,"  28,23","  13,64",non,01001,28.23,13.64
