NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,LEVAVASSEUR,Katiana,Mme,RN,Rassemblement National,11508,"  29,61","  14,56",Bal.,02702,02702,27002
2,SAMSON,Nathalie,Mme,NUP,Nouvelle union populaire écologique et sociale,8171,"  21,02","  10,34",non,02702,02702,27002
3,PEYRAUD,Mélanie,Mme,DXG,Divers extrême gauche,416,"   1,07","   0,53",non,02702,02702,27002
4,FOUQUES,Martine,Mme,ECO,Ecologistes,1295,"   3,33","   1,64",non,02702,02702,27002
5,GOUTTEFARDE,Fabien,M.,ENS,Ensemble ! (Majorité présidentielle),9994,"  25,71","  12,64",Bal.,02702,02702,27002
6,FAUVEAU,Françoise,Mme,DSV,Droite souverainiste,594,"   1,53","   0,75",non,02702,02702,27002
7,CRIQUET,Laurent,M.,DXG,Divers extrême gauche,271,"   0,70","   0,34",non,02702,02702,27002
8,MARAGLIANO,Francine,Mme,LR,Les Républicains,3945,"  10,15","   4,99",non,02702,02702,27002
9,CAMOIN,Emmanuel,M.,REC,Reconquête !,1394,"   3,59","   1,76",non,02702,02702,27002
10,DARROUSSAT,Thomas,M.,ECO,Ecologistes,721,"   1,85","   0,91",non,02702,02702,27002
11,BERTOIS,Sylvain,M.,DVD,Divers droite,560,"   1,44","   0,71",non,02702,02702,27002
