NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,NICOLAI,Yves,M.,ECO,Ecologistes,721,"   2,81","   1,17",non,02A02,02A02,2A002
2,DAÏEN,Yves,M.,DXG,Divers extrême gauche,80,"   0,31","   0,13",non,02A02,02A02,2A002
3,BATTISTINI,Olivier,M.,REC,Reconquête !,1202,"   4,69","   1,94",non,02A02,02A02,2A002
4,COLOMBANI,Paul-André,M.,REG,Régionaliste,9549,"  37,24","  15,44",Bal.,02A02,02A02,2A002
5,SALMAT,Ghislaine,Mme,DVG,Divers gauche,361,"   1,41","   0,58",non,02A02,02A02,2A002
6,MUSELLI-COLONNA,Pierre-Ange,M.,DVG,Divers gauche,1104,"   4,30","   1,79",non,02A02,02A02,2A002
7,FILONI,François,M.,RN,Rassemblement National,3788,"  14,77","   6,13",non,02A02,02A02,2A002
8,ETTORI,Vincent Louis,M.,DSV,Droite souverainiste,374,"   1,46","   0,60",non,02A02,02A02,2A002
9,CHAMPEAU,Dylan,M.,DVG,Divers gauche,1046,"   4,08","   1,69",non,02A02,02A02,2A002
10,BOZZI,Valérie,Mme,DVD,Divers droite,7084,"  27,62","  11,45",Bal.,02A02,02A02,2A002
11,PUCCINELLI,Pierre-Paul,M.,REG,Régionaliste,336,"   1,31","   0,54",non,02A02,02A02,2A002
