NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,MORGANTI,Julien,M.,DVC,Divers centre,3352,"  13,61","   5,45",Bal.,02B01,02B01,2B001
2,MAQUET,Gaël,M.,DIV,Divers,37,"   0,15","   0,06",non,02B01,02B01,2B001
3,LAMBERTI,Jean,M.,REC,Reconquête !,1179,"   4,79","   1,92",non,02B01,02B01,2B001
4,PAOLI,Jean-François,M.,ENS,Ensemble ! (Majorité présidentielle),2944,"  11,96","   4,79",non,02B01,02B01,2B001
5,CASTELLANI,Michel,M.,REG,Régionaliste,8316,"  33,77","  13,52",Bal.,02B01,02B01,2B001
6,MAUNY,Dominique,Mme,DVG,Divers gauche,1533,"   6,23","   2,49",non,02B01,02B01,2B001
7,JOSUÉ,Olivier,M.,DXG,Divers extrême gauche,112,"   0,45","   0,18",non,02B01,02B01,2B001
8,STAELENS,Michel,M.,ECO,Ecologistes,646,"   2,62","   1,05",non,02B01,02B01,2B001
9,FERNANDEZ,Alexis,M.,RN,Rassemblement National,2996,"  12,17","   4,87",non,02B01,02B01,2B001
10,STEFANI,Michel,M.,DVG,Divers gauche,1416,"   5,75","   2,30",non,02B01,02B01,2B001
11,CETTOUR-LEONI,Christine,Mme,DSV,Droite souverainiste,275,"   1,12","   0,45",non,02B01,02B01,2B001
12,TOMASI,Petru Antone,M.,REG,Régionaliste,1818,"   7,38","   2,96",non,02B01,02B01,2B001
