NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,FERUS,Dun,M.,LR,Les Républicains,108,"   0,52","   0,12",non,97102,97102,ZA002
2,RETOUR,Sonia,Mme,UDI,Union des Démocrates et des Indépendants,21,"   0,10","   0,02",non,97102,97102,ZA002
3,BENIN,Justine,Mme,ENS,Ensemble ! (Majorité présidentielle),6468,"  31,31","   7,37",Bal.,97102,97102,ZA002
4,COUVIN,Pauline,Mme,ECO,Ecologistes,430,"   2,08","   0,49",non,97102,97102,ZA002
5,TOLASSY,Ludovic,M.,REG,Régionaliste,1152,"   5,58","   1,31",non,97102,97102,ZA002
6,TOLA,Michel,M.,DVG,Divers gauche,3068,"  14,85","   3,50",non,97102,97102,ZA002
7,DELANNAY-CLARA,Christiane,Mme,DSV,Droite souverainiste,241,"   1,17","   0,27",non,97102,97102,ZA002
8,GIRDARY-RAMSSAMY,Michel,M.,RN,Rassemblement National,2497,"  12,09","   2,84",non,97102,97102,ZA002
9,MATHIAS,Nancy,Mme,DVD,Divers droite,224,"   1,08","   0,26",non,97102,97102,ZA002
10,PLANTIER,Paola,Mme,REC,Reconquête !,169,"   0,82","   0,19",non,97102,97102,ZA002
11,BAPTISTE,Christian,M.,DVG,Divers gauche,5532,"  26,78","   6,30",Bal.,97102,97102,ZA002
12,CERIL,Aline,Mme,DXG,Divers extrême gauche,221,"   1,07","   0,25",non,97102,97102,ZA002
13,BOUGRER,Gérald,M.,DIV,Divers,176,"   0,85","   0,20",non,97102,97102,ZA002
14,ROUYAR-CIREDERF,Steeve,M.,DIV,Divers,116,"   0,56","   0,13",non,97102,97102,ZA002
15,MAXO,Michelle,Mme,ECO,Ecologistes,236,"   1,14","   0,27",non,97102,97102,ZA002
