NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,PARAN,Martin Germain,M.,DXD,Divers extrême droite,935,"   5,89","   1,37",non,97104,97104,ZA004
2,CIVIS,Marguerite,Mme,DVG,Divers gauche,625,"   3,94","   0,92",non,97104,97104,ZA004
3,COUDRET,Jordan,M.,DXG,Divers extrême gauche,287,"   1,81","   0,42",non,97104,97104,ZA004
4,RAMASSAMY,Jean-Yves,M.,DIV,Divers,1324,"   8,35","   1,94",non,97104,97104,ZA004
5,PENCHARD,Marie-Luce,Mme,DVC,Divers centre,3154,"  19,88","   4,62",Bal.,97104,97104,ZA004
6,LUTIN,Lucile,Mme,UDI,Union des Démocrates et des Indépendants,36,"   0,23","   0,05",non,97104,97104,ZA004
7,LOUPADIERE,Cédric,M.,LR,Les Républicains,268,"   1,69","   0,39",non,97104,97104,ZA004
8,ZOZIO,Christian,M.,REC,Reconquête !,222,"   1,40","   0,33",non,97104,97104,ZA004
9,AVRIL,Alain,M.,ECO,Ecologistes,314,"   1,98","   0,46",non,97104,97104,ZA004
10,PAISLEY,Yanetti,Mme,DVG,Divers gauche,2389,"  15,06","   3,50",non,97104,97104,ZA004
11,HOUBLON,Christine,Mme,DVC,Divers centre,185,"   1,17","   0,27",non,97104,97104,ZA004
12,CALIFER,Elie,M.,DVG,Divers gauche,6126,"  38,61","   8,97",Bal.,97104,97104,ZA004
