NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,DINAL,David,M.,DVG,Divers gauche,1438,"   7,56","   1,71",non,97204,97204,ZB004
2,MIRANDE,Richard Darius,M.,DVG,Divers gauche,40,"   0,21","   0,05",non,97204,97204,ZB004
3,THERESE,Karine,Mme,ECO,Ecologistes,755,"   3,97","   0,90",non,97204,97204,ZB004
4,LIMERY,David Thérèse,M.,DVG,Divers gauche,329,"   1,73","   0,39",non,97204,97204,ZB004
5,TIBERINUS,Laurence,Mme,ENS,Ensemble ! (Majorité présidentielle),363,"   1,91","   0,43",non,97204,97204,ZB004
6,TINAUGUS,Edouard,M.,DVG,Divers gauche,79,"   0,42","   0,09",non,97204,97204,ZB004
7,DUVILLE,Ruddy,M.,DVG,Divers gauche,1430,"   7,52","   1,70",non,97204,97204,ZB004
8,PETIT,Philippe,M.,UDI,Union des Démocrates et des Indépendants,590,"   3,10","   0,70",non,97204,97204,ZB004
9,OCCOLIER,Nicolas,M.,RN,Rassemblement National,415,"   2,18","   0,49",non,97204,97204,ZB004
10,SAINTE-ROSE,Célia,Mme,REC,Reconquête !,102,"   0,54","   0,12",non,97204,97204,ZB004
11,NILOR,Jean-Philippe,M.,REG,Régionaliste,8367,"  43,99","   9,97",Bal.,97204,97204,ZB004
12,SULIO,Mélanie,Mme,DXG,Divers extrême gauche,144,"   0,76","   0,17",non,97204,97204,ZB004
13,LUSBEC,Jean-Marc,M.,LR,Les Républicains,88,"   0,46","   0,10",non,97204,97204,ZB004
14,MARIE-JEANNE,Alfred,M.,REG,Régionaliste,4881,"  25,66","   5,81",Bal.,97204,97204,ZB004
