NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,DELAR-RENÉ,Jessika,Mme,DVG,Divers gauche,112,"   0,74","   0,20",non,97301,97301,ZC001
2,LECHAT-VEGA,Thibault,M.,DVG,Divers gauche,970,"   6,45","   1,70",non,97301,97301,ZC001
3,GOUA,Yvane,Mme,REG,Régionaliste,3122,"  20,77","   5,48",Bal.,97301,97301,ZC001
4,CONTOUT,Yari,M.,DVG,Divers gauche,85,"   0,57","   0,15",non,97301,97301,ZC001
5,LETARD,Line,Mme,REG,Régionaliste,436,"   2,90","   0,76",non,97301,97301,ZC001
6,FELISSAINT,Emmanuel,M.,DVG,Divers gauche,385,"   2,56","   0,68",non,97301,97301,ZC001
7,CHALCO-LEFAY,Rolande,Mme,DVG,Divers gauche,211,"   1,40","   0,37",non,97301,97301,ZC001
8,PREVOT-MADERE,Joëlle,Mme,DVD,Divers droite,1728,"  11,49","   3,03",non,97301,97301,ZC001
9,STEPHENSON,Rudy,M.,DVG,Divers gauche,383,"   2,55","   0,67",non,97301,97301,ZC001
10,HARBOURG,Jérôme,M.,RN,Rassemblement National,817,"   5,43","   1,43",non,97301,97301,ZC001
11,MADÈRE,Christophe,M.,DVG,Divers gauche,240,"   1,60","   0,42",non,97301,97301,ZC001
12,CASTOR,Jean-Victor,M.,REG,Régionaliste,2601,"  17,30","   4,56",Bal.,97301,97301,ZC001
13,MATHIEU,Mylène,Mme,DVG,Divers gauche,179,"   1,19","   0,31",non,97301,97301,ZC001
14,CATTIER,Myrtha,Mme,DVG,Divers gauche,144,"   0,96","   0,25",non,97301,97301,ZC001
15,MADELEINE,Alix,M.,DVC,Divers centre,344,"   2,29","   0,60",non,97301,97301,ZC001
16,SAGNE,Aurore,Mme,DVG,Divers gauche,116,"   0,77","   0,20",non,97301,97301,ZC001
17,BOUBA,Philippe,M.,DVG,Divers gauche,812,"   5,40","   1,42",non,97301,97301,ZC001
18,CHONG-SIT,Boris,M.,DVD,Divers droite,2349,"  15,62","   4,12",non,97301,97301,ZC001
