NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,DIJOUX,Ruth,Mme,ECO,Ecologistes,2118,"   5,80","   1,94",non,97404,97404,ZD004
2,PAYET,Isabelle,Mme,DIV,Divers,158,"   0,43","   0,15",non,97404,97404,ZD004
3,BOUCHER,Annie-Claude Dite Saphia,Mme,RN,Rassemblement National,3850,"  10,54","   3,53",non,97404,97404,ZD004
4,LATCHOUMANIN,Serge,M.,DXG,Divers extrême gauche,417,"   1,14","   0,38",non,97404,97404,ZD004
5,BEMAT,Sharif,M.,DVC,Divers centre,1326,"   3,63","   1,22",non,97404,97404,ZD004
6,ALBORA,Stéphane,M.,ECO,Ecologistes,1819,"   4,98","   1,67",non,97404,97404,ZD004
7,LORION,David,M.,LR,Les Républicains,11868,"  32,48","  10,89",Bal.,97404,97404,ZD004
8,THAZARD,Rudy,M.,REG,Régionaliste,335,"   0,92","   0,31",non,97404,97404,ZD004
9,RIANI,Richard,M.,DIV,Divers,527,"   1,44","   0,48",non,97404,97404,ZD004
10,HOAREAU,Patricia,Mme,DSV,Droite souverainiste,927,"   2,54","   0,85",non,97404,97404,ZD004
11,K/BIDI,Emeline,Mme,DVG,Divers gauche,13197,"  36,11","  12,12",Bal.,97404,97404,ZD004
