NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,ADEKALOM,Johny,M.,DVC,Divers centre,372,"   1,64","   0,45",non,97406,97406,ZD006
2,CLAIN,Ophélie,Mme,DSV,Droite souverainiste,268,"   1,18","   0,33",non,97406,97406,ZD006
3,ORPHÉ,Monique,Mme,DVG,Divers gauche,2513,"  11,05","   3,06",non,97406,97406,ZD006
4,LEGROS,Valérie,Mme,RN,Rassemblement National,1997,"   8,78","   2,43",non,97406,97406,ZD006
5,DE CHAZOURNES,Philippe,M.,DXG,Divers extrême gauche,298,"   1,31","   0,36",non,97406,97406,ZD006
6,LEUNG,Eric,M.,DVC,Divers centre,3262,"  14,35","   3,98",non,97406,97406,ZD006
7,MAILLOT,Frédéric,M.,DVG,Divers gauche,5429,"  23,88","   6,62",Bal.,97406,97406,ZD006
8,FANFAN,Loïc,M.,REG,Régionaliste,0,"   0,00","   0,00",non,97406,97406,ZD006
9,LOMBARD,Didier,M.,DXG,Divers extrême gauche,208,"   0,91","   0,25",non,97406,97406,ZD006
10,GIRONCEL DAMOUR,Nadine,Mme,DVG,Divers gauche,2505,"  11,02","   3,05",non,97406,97406,ZD006
11,LAÏ-KANE-CHEONG,Alexandre,M.,DXG,Divers extrême gauche,3862,"  16,99","   4,71",Bal.,97406,97406,ZD006
12,RAMASSAMY,Nadia,Mme,LR,Les Républicains,1802,"   7,93","   2,20",non,97406,97406,ZD006
13,HOAREAU,Jean Noël,M.,DXG,Divers extrême gauche,221,"   0,97","   0,27",non,97406,97406,ZD006
