NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,MOINDJIE,Mohamed,M.,DVC,Divers centre,1194,"   7,24","   2,79",non,97601,97601,ZM001
2,AOUNY,Yasmina,Mme,DVG,Divers gauche,1409,"   8,54","   3,29",non,97601,97601,ZM001
3,NARAYANIN,Théophane,M.,DIV,Divers,2920,"  17,70","   6,82",Bal.,97601,97601,ZM001
4,CHAKRINA,Elad,M.,DVD,Divers droite,1178,"   7,14","   2,75",non,97601,97601,ZM001
5,DJAZA,Ismaila,M.,DIV,Divers,124,"   0,75","   0,29",non,97601,97601,ZM001
6,BOURA,Ahamadi,M.,DVG,Divers gauche,2596,"  15,74","   6,06",non,97601,97601,ZM001
7,ABDILLAH,Issihaka,M.,LR,Les Républicains,2398,"  14,54","   5,60",non,97601,97601,ZM001
8,ALI,Ramlati,Mme,ENS,Ensemble ! (Majorité présidentielle),1194,"   7,24","   2,79",non,97601,97601,ZM001
9,AUTRAN,Antoine,M.,DIV,Divers,12,"   0,07","   0,03",non,97601,97601,ZM001
10,YOUSSOUFFA,Estelle,Mme,DIV,Divers,3471,"  21,04","   8,10",Bal.,97601,97601,ZM001
