NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,ZANNI,Eric,M.,DSV,Droite souverainiste,123,"   0,47","   0,18",non,98702,98702,ZP002
2,TARIHAA,Jonathan,M.,DVD,Divers droite,3300,"  12,65","   4,91",non,98702,98702,ZP002
3,ATGER,Charles,M.,RN,Rassemblement National,562,"   2,15","   0,84",non,98702,98702,ZP002
4,SANQUER,Nicole,Mme,DVD,Divers droite,4548,"  17,44","   6,77",non,98702,98702,ZP002
5,CHAILLOUX,Steve,M.,REG,Régionaliste,7506,"  28,78","  11,17",Bal.,98702,98702,ZP002
6,MANUTAHI LEVY-AGAMI,Sandra,Mme,REG,Régionaliste,567,"   2,17","   0,84",non,98702,98702,ZP002
7,SALMON,Tati,M.,ECO,Ecologistes,355,"   1,36","   0,53",non,98702,98702,ZP002
8,OTCENASEK,Paméla,Mme,REG,Régionaliste,372,"   1,43","   0,55",non,98702,98702,ZP002
9,BONTOUR,Paul,M.,DXG,Divers extrême gauche,86,"   0,33","   0,13",non,98702,98702,ZP002
10,TERIITAHI,Tepuaraurii,Mme,ENS,Ensemble ! (Majorité présidentielle),8660,"  33,21","  12,88",Bal.,98702,98702,ZP002
