NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,CARACO,Patrick,M.,LR,Les Républicains,2381,"   4,68","   0,99",non,09901,09901,ZZ001
2,AMAGLIO-TERISSE,Isabelle,Mme,DVG,Divers gauche,482,"   0,95","   0,20",non,09901,09901,ZZ001
3,MICHON,Gérard,M.,DVD,Divers droite,5439,"  10,70","   2,26",non,09901,09901,ZZ001
4,ADAM,Jennifer,Mme,RN,Rassemblement National,1013,"   1,99","   0,42",non,09901,09901,ZZ001
5,RÉMINIAC,Yann,M.,REG,Régionaliste,172,"   0,34","   0,07",non,09901,09901,ZZ001
6,ITIER,Emmanuel,M.,DVD,Divers droite,258,"   0,51","   0,11",non,09901,09901,ZZ001
7,REGIS,James,M.,DSV,Droite souverainiste,498,"   0,98","   0,21",non,09901,09901,ZZ001
8,ROGER,Florence,Mme,NUP,Nouvelle union populaire écologique et sociale,16993,"  33,43","   7,05",Bal.,09901,09901,ZZ001
9,LESCURE,Roland,M.,ENS,Ensemble ! (Majorité présidentielle),18236,"  35,88","   7,57",Bal.,09901,09901,ZZ001
10,OUELHADJ,Alain,M.,REC,Reconquête !,2620,"   5,15","   1,09",non,09901,09901,ZZ001
11,BONDRILLE,Franck,M.,DVD,Divers droite,2699,"   5,31","   1,12",non,09901,09901,ZZ001
12,PARAT-EDOM,Laisely,Mme,RDG,Parti radical de gauche,37,"   0,07","   0,02",non,09901,09901,ZZ001
