,Inscrits,CodCirc
0,86194,00101
0,99979,00102
0,82207,00103
0,94903,00104
0,77466,00105
0,72483,00201
0,73189,00202
0,66718,00203
0,78778,00204
0,83139,00205
0,89355,00301
0,80971,00302
0,80195,00303
0,61975,00401
0,66651,00402
0,59647,00501
0,54278,00502
0,82309,00601
0,89181,00602
0,91815,00603
0,85291,00604
0,91177,00605
0,80177,00606
0,97545,00607
0,84308,00608
0,81467,00609
0,79312,00701
0,96581,00702
0,80836,00703
0,70967,00801
0,60754,00802
0,55262,00803
0,57472,00901
0,62032,00902
0,64552,01001
0,75273,01002
0,66562,01003
0,98468,01101
0,92652,01102
0,89795,01103
0,78139,01201
0,69154,01202
0,72518,01203
0,81458,01301
0,83607,01302
0,75992,01303
0,64943,01304
0,73610,01305
0,78511,01306
0,67134,01307
0,102850,01308
0,100963,01309
0,109100,01310
0,92291,01311
0,94710,01312
0,94398,01313
0,99313,01314
0,109281,01315
0,91764,01316
0,72799,01401
0,68628,01402
0,79782,01403
0,104666,01404
0,92542,01405
0,96463,01406
0,63106,01501
0,52857,01502
0,83763,01601
0,83709,01602
0,90899,01603
0,110470,01701
0,112184,01702
0,84195,01703
0,94408,01704
0,119750,01705
0,71165,01801
0,68858,01802
0,84503,01803
0,92424,01901
0,93152,01902
0,70369,02101
0,71506,02102
0,72561,02103
0,68400,02104
0,85691,02105
0,91918,02201
0,103429,02202
0,88979,02203
0,81096,02204
0,107732,02205
0,91036,02301
0,77823,02401
0,84297,02402
0,67369,02403
0,89793,02404
0,76211,02501
0,79175,02502
0,64514,02503
0,65553,02504
0,84722,02505
0,77957,02601
0,95930,02602
0,110921,02603
0,99201,02604
0,86792,02701
0,79055,02702
0,85740,02703
0,92593,02704
0,89577,02705
0,91232,02801
0,75046,02802
0,71343,02803
0,67238,02804
0,92338,02901
0,79085,02902
0,93155,02903
0,84023,02904
0,97865,02905
0,91263,02906
0,83311,02907
0,91084,02908
0,52261,02A01
0,61834,02A02
0,61520,02B01
0,67924,02B02
0,89377,03001
0,95045,03002
0,95519,03003
0,94343,03004
0,98485,03005
0,84553,03006
0,83964,03101
0,105339,03102
0,80733,03103
0,68593,03104
0,106938,03105
0,115579,03106
0,106500,03107
0,86162,03108
0,80654,03109
0,103430,03110
0,73808,03201
0,73848,03202
0,104129,03301
0,72301,03302
0,89496,03303
0,98473,03304
0,120999,03305
0,108051,03306
0,79776,03307
0,119823,03308
0,102191,03309
0,83290,03310
0,98743,03311
0,88134,03312
0,90106,03401
0,65431,03402
0,92308,03403
0,119182,03404
0,98965,03405
0,93917,03406
0,108885,03407
0,94363,03408
0,89433,03409
0,93501,03501
0,98271,03502
0,91858,03503
0,95818,03504
0,109735,03505
0,90292,03506
0,105141,03507
0,90997,03508
0,77781,03601
0,88363,03602
0,71161,03701
0,92250,03702
0,99402,03703
0,92318,03704
0,87118,03705
0,85737,03801
0,78601,03802
0,60402,03803
0,91894,03804
0,106050,03805
0,89161,03806
0,96144,03807
0,82512,03808
0,100653,03809
0,98834,03810
0,65032,03901
0,55805,03902
0,70385,03903
0,108526,04001
0,123048,04002
0,99481,04003
0,82792,04101
0,80392,04102
0,81928,04103
0,64616,04201
0,50936,04202
0,83524,04203
0,103989,04204
0,102311,04205
0,111184,04206
0,101598,04301
0,79477,04302
0,77128,04401
0,91423,04402
0,96753,04403
0,93281,04404
0,125919,04405
0,115404,04406
0,117322,04407
0,90161,04408
0,129930,04409
0,123775,04410
0,77594,04501
0,87297,04502
0,70881,04503
0,74837,04504
0,73681,04505
0,75188,04506
0,72859,04601
0,66674,04602
0,88689,04701
0,77451,04702
0,75987,04703
0,59916,04801
0,88017,04901
0,94035,04902
0,72583,04903
0,76249,04904
0,79446,04905
0,98400,04906
0,82877,04907
0,87541,05001
0,96983,05002
0,110859,05003
0,89416,05004
0,74471,05101
0,74662,05102
0,80058,05103
0,77098,05104
0,75997,05105
0,69998,05201
0,59447,05202
0,73690,05301
0,79090,05302
0,82448,05401
0,67509,05402
0,80750,05403
0,97544,05404
0,78482,05405
0,87300,05406
0,75640,05501
0,59519,05502
0,114857,05601
0,112403,05602
0,96635,05603
0,111738,05604
0,81839,05605
0,93735,05606
0,93046,05701
0,76241,05702
0,75882,05703
0,80993,05704
0,72438,05705
0,66904,05706
0,89499,05707
0,91209,05708
0,101706,05709
0,74670,05801
0,79762,05802
0,64243,05901
0,86855,05902
0,92345,05903
0,101687,05904
0,101589,05905
0,93715,05906
0,73619,05907
0,68616,05908
0,92360,05909
0,82250,05910
0,94445,05911
0,93111,05912
0,87014,05913
0,99422,05914
0,97816,05915
0,83735,05916
0,73664,05917
0,91116,05918
0,80364,05919
0,81528,05920
0,81073,05921
0,83131,06001
0,89123,06002
0,73841,06003
0,93576,06004
0,73335,06005
0,75897,06006
0,76867,06007
0,68543,06101
0,66067,06102
0,71129,06103
0,104991,06201
0,87622,06202
0,83202,06203
0,89977,06204
0,90607,06205
0,93784,06206
0,94080,06207
0,92206,06208
0,80131,06209
0,88838,06210
0,94174,06211
0,96500,06212
0,84198,06301
0,90091,06302
0,89903,06303
0,101361,06304
0,104443,06305
0,69016,06401
0,83109,06402
0,84067,06403
0,80815,06404
0,99411,06405
0,105506,06406
0,88025,06501
0,89776,06502
0,72798,06601
0,103633,06602
0,84997,06603
0,101920,06604
0,62699,06701
0,73382,06702
0,70930,06703
0,97929,06704
0,106193,06705
0,97620,06706
0,85756,06707
0,94522,06708
0,95510,06709
0,78291,06801
0,92585,06802
0,87107,06803
0,104018,06804
0,77082,06805
0,94500,06806
0,72741,06901
0,74047,06902
0,72457,06903
0,78300,06904
0,90165,06905
0,89588,06906
0,70999,06907
0,105090,06908
0,96653,06909
0,99415,06910
0,96597,06911
0,82191,06912
0,88594,06913
0,75892,06914
0,88324,07001
0,89797,07002
0,74581,07101
0,77217,07102
0,81180,07103
0,83089,07104
0,88048,07105
0,73503,07201
0,83278,07202
0,86555,07203
0,80893,07204
0,87884,07205
0,93525,07301
0,76338,07302
0,74458,07303
0,77957,07304
0,109094,07401
0,100231,07402
0,88240,07403
0,88829,07404
0,101817,07405
0,81409,07406
0,84577,07501
0,74773,07502
0,73145,07503
0,72986,07504
0,79355,07505
0,80255,07507
0,85267,07508
0,70816,07509
0,70239,07510
0,73058,07511
0,75816,07512
0,78188,07513
0,76071,07514
0,79108,07515
0,70689,07518
0,66683,07601
0,95314,07602
0,70128,07603
0,87128,07604
0,95185,07605
0,109827,07606
0,86816,07607
0,65792,07608
0,95673,07609
0,110317,07610
0,71939,07701
0,79935,07702
0,77071,07703
0,88843,07704
0,88370,07705
0,81567,07706
0,87857,07707
0,95210,07708
0,86253,07709
0,81517,07710
0,66546,07711
0,83352,07801
0,86404,07802
0,83457,07803
0,80177,07804
0,75656,07805
0,75950,07806
0,80658,07807
0,74523,07808
0,92997,07809
0,91550,07810
0,69381,07811
0,71168,07812
0,90926,07901
0,98305,07902
0,84887,07903
0,84051,08001
0,77992,08002
0,82597,08003
0,85112,08004
0,81347,08005
0,85129,08101
0,109876,08102
0,104171,08103
0,93022,08201
0,96326,08202
0,72280,08301
0,92512,08302
0,104086,08303
0,112405,08304
0,101751,08305
0,127524,08306
0,105189,08307
0,109176,08308
0,73786,08401
0,85845,08402
0,78864,08403
0,90422,08404
0,84399,08405
0,118663,08501
0,112172,08502
0,135259,08503
0,102698,08504
0,84119,08505
0,80591,08601
0,79522,08602
0,73004,08603
0,73885,08604
