NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
3,BRETON,Xavier,M.,LR,Les Républicains,24408,"  63,22","  28,32",oui,00101,00101,01001
8,GUÉRAUD,Sébastien,M.,NUP,Nouvelle union populaire écologique et sociale,14203,"  36,78","  16,48",non,00101,00101,01001
1,LAPRAY,Lumir,Mme,NUP,Nouvelle union populaire écologique et sociale,17824,"  41,66","  17,83",non,00102,00102,01002
2,DAUBIÉ,Romain,M.,ENS,Ensemble ! (Majorité présidentielle),24960,"  58,34","  24,97",oui,00102,00102,01002
3,GIVERNET,Olga,Mme,ENS,Ensemble ! (Majorité présidentielle),18398,"  58,72","  22,38",oui,00103,00103,01003
6,JOLIE,Christian,M.,NUP,Nouvelle union populaire écologique et sociale,12932,"  41,28","  15,73",non,00103,00103,01003
4,BUISSON,Jérôme,M.,RN,Rassemblement National,22601,"  62,27","  23,81",oui,00104,00104,01004
7,LERDA,Philippe,M.,NUP,Nouvelle union populaire écologique et sociale,13696,"  37,73","  14,43",non,00104,00104,01004
4,ABAD,Damien,M.,DVD,Divers droite,17687,"  57,86","  22,83",oui,00105,00105,01005
5,PISANI,Florence,Mme,NUP,Nouvelle union populaire écologique et sociale,12882,"  42,14","  16,63",non,00105,00105,01005
1,BONO-VANDORME,Aude,Mme,ENS,Ensemble ! (Majorité présidentielle),14217,"  45,47","  19,61",non,00201,00201,02001
7,DRAGON,Nicolas,M.,RN,Rassemblement National,17049,"  54,53","  23,52",oui,00201,00201,02001
2,DIVE,Julien,M.,LR,Les Républicains,17463,"  58,17","  23,86",oui,00202,00202,02002
4,PUISSANT,Lola,Mme,RN,Rassemblement National,12558,"  41,83","  17,16",non,00202,00202,02002
3,HANSEN-CATTA,Paul-Henry,M.,RN,Rassemblement National,12809,"  45,07","  19,20",non,00203,00203,02003
6,BRICOUT,Jean-Louis,M.,NUP,Nouvelle union populaire écologique et sociale,15612,"  54,93","  23,40",oui,00203,00203,02003
1,BEAURAIN,José,M.,RN,Rassemblement National,17587,"  57,15","  22,32",oui,00204,00204,02004
6,DELATTE,Marc,M.,ENS,Ensemble ! (Majorité présidentielle),13187,"  42,85","  16,74",non,00204,00204,02004
4,DESSIGNY,Jocelyn,M.,RN,Rassemblement National,20589,"  62,41","  24,76",oui,00205,00205,02005
7,FRERE,Stéphane,M.,NUP,Nouvelle union populaire écologique et sociale,12403,"  37,59","  14,92",non,00205,00205,02005
3,BARBARIN,Michel,M.,ENS,Ensemble ! (Majorité présidentielle),17496,"  44,49","  19,58",non,00301,00301,03001
9,MONNET,Yannick,M.,NUP,Nouvelle union populaire écologique et sociale,21832,"  55,51","  24,43",oui,00301,00301,03001
9,BOVET,Jorys,M.,RN,Rassemblement National,16116,"  50,22","  19,90",oui,00302,00302,03002
13,HERITIER,Louise,Mme,NUP,Nouvelle union populaire écologique et sociale,15976,"  49,78","  19,73",non,00302,00302,03002
3,RAY,Nicolas,M.,LR,Les Républicains,19296,"  60,98","  24,06",oui,00303,00303,03003
6,PEYROL,Bénédicte,Mme,ENS,Ensemble ! (Majorité présidentielle),12347,"  39,02","  15,40",non,00303,00303,03003
10,BAGARRY,Delphine,Mme,NUP,Nouvelle union populaire écologique et sociale,14102,"  48,81","  22,75",non,00401,00401,04001
11,GIRARD,Christian,M.,RN,Rassemblement National,14791,"  51,19","  23,87",oui,00401,00401,04001
11,CASTANER,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle),15137,"  48,52","  22,71",non,00402,00402,04002
12,WALTER,Léo,M.,NUP,Nouvelle union populaire écologique et sociale,16063,"  51,48","  24,10",oui,00402,00402,04002
2,PHILIPPO,Michel,M.,NUP,Nouvelle union populaire écologique et sociale,13569,"  49,64","  22,75",non,00501,00501,05001
3,BOYER,Pascale,Mme,ENS,Ensemble ! (Majorité présidentielle),13767,"  50,36","  23,08",oui,00501,00501,05001
1,GIRAUD,Joel,M.,ENS,Ensemble ! (Majorité présidentielle),15056,"  56,58","  27,74",oui,00502,00502,05002
9,MOUNAL,Capucine,Mme,NUP,Nouvelle union populaire écologique et sociale,11552,"  43,42","  21,28",non,00502,00502,05002
2,CIOTTI,Eric,M.,LR,Les Républicains,17737,"  56,33","  21,55",oui,00601,00601,06001
8,MONETTI,Graig,M.,ENS,Ensemble ! (Majorité présidentielle),13751,"  43,67","  16,71",non,00601,00601,06001
9,TIVOLI,Lionel,M.,RN,Rassemblement National,18557,"  51,65","  20,81",oui,00602,00602,06002
11,DOMBREVAL,Loïc,M.,ENS,Ensemble ! (Majorité présidentielle),17369,"  48,35","  19,48",non,00602,00602,06002
5,GIUSTI,Enzo,M.,NUP,Nouvelle union populaire écologique et sociale,14111,"  42,56","  15,37",non,00603,00603,06003
7,PRADAL,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle),19043,"  57,44","  20,74",oui,00603,00603,06003
3,VALETTA-ARDISSON,Alexandra,Mme,ENS,Ensemble ! (Majorité présidentielle),15185,"  43,80","  17,80",non,00604,00604,06004
9,MASSON,Alexandra,Mme,RN,Rassemblement National,19487,"  56,20","  22,85",oui,00604,00604,06004
4,BRENIER-OHANESSIAN,Marine,Mme,ENS,Ensemble ! (Majorité présidentielle),14623,"  42,46","  16,04",non,00605,00605,06005
6,D'INTORNI,Christelle,Mme,LR,Les Républicains,19814,"  57,54","  21,73",oui,00605,00605,06005
6,MION,Jean-Bernard,M.,ENS,Ensemble ! (Majorité présidentielle),16642,"  48,65","  20,76",non,00606,00606,06006
8,MASSON,Bryan,M.,RN,Rassemblement National,17564,"  51,35","  21,91",oui,00606,00606,06006
3,PAUGET,Eric,M.,LR,Les Républicains,22496,"  58,84","  23,06",oui,00607,00607,06007
6,MELE,Eric,M.,ENS,Ensemble ! (Majorité présidentielle),15738,"  41,16","  16,13",non,00607,00607,06007
2,DESENS,Jean-Valéry,M.,ENS,Ensemble ! (Majorité présidentielle),9557,"  30,73","  11,34",non,00608,00608,06008
10,MARTIN,Alexandra,Mme,LR,Les Républicains,21547,"  69,27","  25,56",oui,00608,00608,06008
2,TABAROT,Michèle,Mme,LR,Les Républicains,19998,"  63,20","  24,55",oui,00609,00609,06009
11,GALBERT,Franck,M.,RN,Rassemblement National,11646,"  36,80","  14,30",non,00609,00609,06009
4,SAULIGNAC,Hervé,M.,DVG,Divers gauche,21540,"  60,04","  27,16",oui,00701,00701,07001
8,PORQUET,Céline,Mme,RN,Rassemblement National,14339,"  39,96","  18,08",non,00701,00701,07001
7,GOULOUZELLE,Christophe,M.,NUP,Nouvelle union populaire écologique et sociale,17955,"  41,14","  18,59",non,00702,00702,07002
9,DUSSOPT,Olivier,M.,ENS,Ensemble ! (Majorité présidentielle),25684,"  58,86","  26,59",oui,00702,00702,07002
2,PALLOT,Florence,Mme,NUP,Nouvelle union populaire écologique et sociale,18704,"  42,90","  23,14",non,00703,00703,07003
4,BRUN,Fabrice,M.,LR,Les Républicains,24890,"  57,10","  30,79",oui,00703,00703,07003
1,RICHARD,Laurent,M.,RN,Rassemblement National,14664,"  49,66","  20,66",non,00801,00801,08001
4,VUIBERT,Lionel,M.,ENS,Ensemble ! (Majorité présidentielle),14862,"  50,34","  20,94",oui,00801,00801,08001
8,PHILIPPO,Baptiste,M.,RN,Rassemblement National,7049,"  30,61","  11,60",non,00802,00802,08002
9,CORDIER,Pierre,M.,LR,Les Républicains,15977,"  69,39","  26,30",oui,00802,00802,08002
4,WARSMANN,Jean-Luc,M.,DVD,Divers droite,15575,"  67,75","  28,18",oui,00803,00803,08003
8,LEMOINE,David,M.,RN,Rassemblement National,7415,"  32,25","  13,42",non,00803,00803,08003
2,TAURINE,Bénédicte,Mme,NUP,Nouvelle union populaire écologique et sociale,14746,"  55,31","  25,66",oui,00901,00901,09001
7,TRIBOUT,Anne-Sophie,Mme,ENS,Ensemble ! (Majorité présidentielle),11917,"  44,69","  20,74",non,00901,00901,09001
5,PANIFOUS,Laurent,M.,DVG,Divers gauche,16225,"  56,71","  26,16",oui,00902,00902,09002
7,LARIVE,Michel,M.,NUP,Nouvelle union populaire écologique et sociale,12383,"  43,29","  19,96",non,00902,00902,09002
2,BESSON-MOREAU,Grégory,M.,ENS,Ensemble ! (Majorité présidentielle),13770,"  46,11","  21,33",non,01001,01001,10001
3,GUITTON,Jordan,M.,RN,Rassemblement National,16093,"  53,89","  24,93",oui,01001,01001,10001
4,HENRY,Evelyne,Mme,RN,Rassemblement National,13426,"  40,49","  17,84",non,01002,01002,10002
9,BAZIN-MALGRAS,Valérie,Mme,LR,Les Républicains,19731,"  59,51","  26,21",oui,01002,01002,10002
6,BEURY,Loëtitia,Mme,ENS,Ensemble ! (Majorité présidentielle),13024,"  48,35","  19,57",non,01003,01003,10003
10,RANC,Angélique,Mme,RN,Rassemblement National,13913,"  51,65","  20,90",oui,01003,01003,10003
6,BARTHÈS,Christophe,M.,RN,Rassemblement National,23914,"  53,56","  24,29",oui,01101,01101,11001
