CodCirc2,DIV,DSV,DVC,DVD,DVG,DXD,DXG,ECO,ENS,LR,NUP,RDG,REC,REG,RN,UDI
01001,,True,,,,,True,True,True,True,True,,True,,True,
01002,True,True,,True,,,True,True,True,True,True,,True,,True,
01003,True,True,True,,,,True,True,True,True,True,,True,,True,
01004,,True,True,True,True,,True,True,True,True,True,True,True,,True,
01005,True,True,,True,True,,True,,,True,True,,True,,True,
02001,,True,,True,,,True,,True,True,True,,True,,True,
02002,True,,,,True,,True,,True,True,True,,True,,True,
02003,,True,,,,,True,,,True,True,,True,,True,
02004,,True,,,,,True,,True,True,True,,True,,True,
02005,,True,True,,,,True,True,True,True,True,,True,,True,
03001,,,,True,True,,True,True,True,True,True,,True,,True,
03002,,True,True,,True,,True,True,True,True,True,True,True,True,True,
03003,True,True,,,,,True,True,True,True,True,True,True,,True,
04001,True,True,,True,True,,True,True,True,,True,,True,True,True,
04002,,True,,,,,True,True,True,,True,,True,True,True,True
05001,,True,,,,,True,True,True,True,True,,True,True,True,
05002,,True,,,True,,True,True,True,True,True,,True,,True,
06001,True,True,,,True,,True,True,True,True,True,,,,True,
06002,True,True,,True,,,True,True,True,True,True,,True,,True,
06003,True,True,,,,,True,True,True,True,True,True,True,,True,
06004,,True,,,,,True,True,True,True,True,,True,,True,
06005,True,True,,,,,True,True,True,True,True,,True,,True,
06006,,True,True,,,,True,True,True,True,True,,True,,True,
06007,True,True,,True,True,,True,True,True,True,True,,True,,True,
06008,True,True,,,,,True,True,True,True,True,,True,,True,
06009,True,True,True,,,,True,True,True,True,True,,True,,True,
07001,,True,,True,True,,True,True,True,,,,True,True,True,
07002,,True,,True,,,True,,True,True,True,,True,True,True,
07003,,True,,,True,,True,True,True,True,True,,True,True,True,
08001,,True,True,,,,True,True,True,True,True,,True,,True,
08002,,True,,,,,True,True,True,True,True,,True,,True,
08003,,True,,True,,,True,True,True,,True,,True,,True,
09001,,True,,,True,,True,True,True,,True,,True,True,True,
09002,True,,,,True,,True,True,True,,True,,True,True,True,True
10001,True,,True,,,,True,,True,True,True,,True,,True,
10002,,True,True,,,,True,True,True,True,True,,True,,True,
10003,,True,True,,,,True,True,True,True,True,,True,,True,
11001,True,True,,,,,True,True,True,True,True,,True,,True,
11002,True,True,True,,True,,True,True,True,True,True,True,True,,True,
11003,,True,,,,,True,True,True,,True,True,True,,True,True
12001,,True,,True,,,True,True,True,True,True,,True,,True,
12002,,True,,True,True,,True,True,True,True,True,True,True,,True,
12003,,,,True,,,True,True,True,True,True,,True,,True,
13001,True,True,,True,,,True,True,True,True,True,,True,True,True,
13002,True,True,,,,,True,True,True,True,True,,True,,True,
13003,,,True,,,,True,True,True,True,True,,True,True,True,
13004,True,,True,,,,True,True,True,True,True,,True,True,True,
