NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,CodCirc1,CodCirc2
1,GUILLERMIN,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle),8071,"  19,30","   9,36",non,00101,00101,01001
2,LAHY,Éric,M.,DXG,Divers extrême gauche,391,"   0,94","   0,45",non,00101,00101,01001
3,BRETON,Xavier,M.,LR,Les Républicains,10599,"  25,35","  12,30",Bal.,00101,00101,01001
4,PIROUX GIANNOTTI,Brigitte,Mme,RN,Rassemblement National,8971,"  21,46","  10,41",non,00101,00101,01001
5,MENDES,Michael,M.,DSV,Droite souverainiste,641,"   1,53","   0,74",non,00101,00101,01001
6,BELLON,Julien,M.,REC,Reconquête !,1995,"   4,77","   2,31",non,00101,00101,01001
7,ARMENJON,Eliane,Mme,ECO,Ecologistes,1161,"   2,78","   1,35",non,00101,00101,01001
8,GUÉRAUD,Sébastien,M.,NUP,Nouvelle union populaire écologique et sociale,9982,"  23,87","  11,58",Bal.,00101,00101,01001
1,LAPRAY,Lumir,Mme,NUP,Nouvelle union populaire écologique et sociale,12428,"  25,42","  12,43",Bal.,00102,00102,01002
2,DAUBIÉ,Romain,M.,ENS,Ensemble ! (Majorité présidentielle),12916,"  26,42","  12,92",Bal.,00102,00102,01002
3,GOUTAGNY,Vincent,M.,DXG,Divers extrême gauche,415,"   0,85","   0,42",non,00102,00102,01002
4,BARATAY,Denis,M.,DVD,Divers droite,618,"   1,26","   0,62",non,00102,00102,01002
5,NANCHI,Alexandre,M.,LR,Les Républicains,7192,"  14,71","   7,20",non,00102,00102,01002
6,COSTA,Alexandre,M.,REC,Reconquête !,2392,"   4,89","   2,39",non,00102,00102,01002
7,MARTET,Colin,M.,DIV,Divers,265,"   0,54","   0,27",non,00102,00102,01002
8,IGLÉSIS,Thomas,M.,ECO,Ecologistes,653,"   1,34","   0,65",non,00102,00102,01002
9,EYRAUD,Olivier,M.,RN,Rassemblement National,11354,"  23,23","  11,36",non,00102,00102,01002
10,CARRIER,Delphine,Mme,DSV,Droite souverainiste,653,"   1,34","   0,65",non,00102,00102,01002
1,DUBARRY,Karine,Mme,REC,Reconquête !,1835,"   5,14","   2,23",non,00103,00103,01003
2,VERGNAS,Thierry,M.,DSV,Droite souverainiste,543,"   1,52","   0,66",non,00103,00103,01003
3,GIVERNET,Olga,Mme,ENS,Ensemble ! (Majorité présidentielle),10704,"  29,96","  13,02",Bal.,00103,00103,01003
4,FERTE,Maxence,M.,DIV,Divers,0,"   0,00","   0,00",non,00103,00103,01003
5,FRANCK,Frédéric,M.,RN,Rassemblement National,4993,"  13,97","   6,07",non,00103,00103,01003
6,JOLIE,Christian,M.,NUP,Nouvelle union populaire écologique et sociale,7990,"  22,36","   9,72",Bal.,00103,00103,01003
7,BAUDE,Véronique,Mme,LR,Les Républicains,6425,"  17,98","   7,82",non,00103,00103,01003
