CodCirc2,écart,votants,inscrits
03002,140.0,32092,80970
04001,689.0,28893,61962
04002,926.0,31200,66661
05001,198.0,27336,59643
06002,1188.0,35926,89179
06006,922.0,34206,80167
08001,198.0,29526,70937
10003,889.0,26937,66547
12002,679.0,34029,69158
13001,479.0,30439,81442
13012,1021.0,37329,94713
13013,1557.0,38653,94380
14001,200.0,36792,72797
14006,2204.0,44670,96452
16001,24.0,37684,83777
16003,193.0,39767,90900
17002,1756.0,49970,112182
17003,843.0,35747,84182
17004,762.0,42132,94405
17005,1897.0,54569,119708
21002,1030.0,30398,71505
21003,66.0,29734,72546
22001,2198.0,45888,91910
22005,2799.0,56193,107754
23001,1220.0,42284,91035
24001,1313.0,35419,77866
24002,330.0,37452,84302
24003,949.0,39110,67367
25001,1267.0,33663,76204
25002,1661.0,36849,79162
25003,451.0,27057,64514
25004,515.0,26199,65534
26003,2517.0,56755,110901
27001,567.0,36691,86794
27002,776.0,35204,79041
27004,350.0,39300,92582
27005,490.0,38818,89556
29002,118.0,36136,79064
29006,808.0,47088,91259
29007,1918.0,42614,83306
29008,2157.0,44427,91066
2A001,818.0,23208,52268
2B002,156.0,33398,67934
30001,1355.0,33773,89353
30003,1113.0,42125,95517
30006,1407.0,32435,84534
31005,1747.0,46149,106905
31006,4.0,55136,115543
31007,1085.0,46203,106489
31010,211.0,54025,103426
33006,1924.0,51862,108026
33009,444.0,45456,102166
33012,184.0,40546,88115
34004,674.0,51908,119166
34008,458.0,38508,94370
35002,1975.0,54355,98259
35003,1409.0,46159,91835
35004,328.0,45384,95807
35007,2024.0,45386,105132
37004,433.0,41937,92304
38002,1388.0,32596,78583
38005,430.0,49590,106035
38006,673.0,36661,89139
40002,2262.0,58348,123039
41002,760.0,35454,80246
42001,1065.0,25397,64587
42002,263.0,20713,50916
44001,1628.0,39106,77125
45003,1430.0,32262,70874
45005,11.0,31483,73664
46002,127.0,37329,66679
47001,1165.0,39491,88680
50004,1278.0,39686,89408
51003,939.0,32733,80021
52001,789.0,31613,70037
52002,914.0,26840,59449
54002,165.0,31213,67490
54003,1035.0,26737,80739
54006,149.0,32117,87286
56005,1032.0,38300,81829
57003,797.0,27227,75859
57008,1406.0,28946,91160
58002,105.0,42576,79766
59003,1211.0,35685,92320
59005,922.0,40394,101579
59013,1495.0,31553,86991
59016,225.0,32419,83726
59018,443.0,37979,91104
60003,1297.0,26835,73818
61001,115.0,29437,68571
62003,71.0,32517,83196
62005,730.0,35474,90592
62006,56.0,43660,93771
63001,1552.0,34826,84175
63004,116.0,45244,101379
64001,517.0,33341,69004
64004,90.0,39782,80842
65001,105.0,41209,88017
65002,1834.0,40312,89775
67001,887.0,30251,62677
67002,816.0,33164,73361
68001,119.0,28163,78280
69001,1351.0,36255,72729
69002,1323.0,40371,74034
69008,697.0,43013,105083
72003,702.0,36086,86562
72004,87.0,29695,80894
73004,604.0,35562,77948
75003,770.0,38456,73188
75007,658.0,45174,80258
75018,1269.0,38559,70682
76001,78.0,31568,66671
76009,708.0,41996,95656
76010,1064.0,50736,110309
77004,859.0,36873,88822
77006,1256.0,29544,81556
77007,852.0,32612,87842
77008,4.0,38642,95166
78011,116.0,31404,69371
79001,1723.0,43299,90920
81002,1482.0,60348,109859
83002,1252.0,38260,92500
83003,386.0,46228,104073
83007,1754.0,42868,105182
84001,670.0,28800,73765
84002,1615.0,36831,85827
84005,574.0,36554,84400
86001,1001.0,36835,80577
86002,942.0,39592,79489
87003,1575.0,37527,82045
88002,342.0,31304,72545
88004,1139.0,29743,65296
89001,730.0,33000,75757
89002,877.0,32643,73470
90002,505.0,18447,46494
91003,1047.0,44365,98710
91005,18.0,37356,68453
91007,214.0,31656,73537
91009,841.0,33169,78732
92002,531.0,39362,69729
92003,326.0,44957,82668
92004,725.0,36315,80977
93012,506.0,22848,65408
94003,1147.0,29027,74029
94007,177.0,29149,66243
95003,1758.0,40642,94585
95007,204.0,27668,69364
ZA003,1009.0,23795,84348
ZD003,1095.0,29277,96212
ZD007,888.0,35962,118245
ZP001,672.0,38374,72176
ZS001,19.0,2639,5053
ZW001,16.0,7418,9592
ZZ008,193.0,16747,131219
