CodCirc2,DIV,DSV,DVC,DVD,DVG,DXG,ENS,LR,NUP,REG,RN,UDI
01001,0,0,0,0,0,0,0,1,2,0,0,0
01002,0,0,0,0,0,0,1,0,2,0,0,0
01003,0,0,0,0,0,0,1,0,2,0,0,0
01004,0,0,0,0,0,0,0,0,2,0,1,0
01005,0,0,0,1,0,0,0,0,2,0,0,0
02001,0,0,0,0,0,0,2,0,0,0,1,0
02002,0,0,0,0,0,0,0,1,0,0,2,0
02003,0,0,0,0,0,0,0,0,1,0,2,0
02004,0,0,0,0,0,0,2,0,0,0,1,0
02005,0,0,0,0,0,0,0,0,2,0,1,0
03001,0,0,0,0,0,0,2,0,1,0,0,0
03002,0,0,0,0,0,0,0,0,2,0,1,0
03003,0,0,0,0,0,0,2,1,0,0,0,0
04001,0,0,0,0,0,0,0,0,2,0,1,0
04002,0,0,0,0,0,0,2,0,1,0,0,0
05001,0,0,0,0,0,0,1,0,2,0,0,0
05002,0,0,0,0,0,0,1,0,2,0,0,0
06001,0,0,0,0,0,0,2,1,0,0,0,0
06002,0,0,0,0,0,0,2,0,0,0,1,0
06003,0,0,0,0,0,0,1,0,2,0,0,0
06004,0,0,0,0,0,0,2,0,0,0,1,0
06005,0,0,0,0,0,0,2,1,0,0,0,0
06006,0,0,0,0,0,0,2,0,0,0,1,0
06007,0,0,0,0,0,0,2,1,0,0,0,0
06008,0,0,0,0,0,0,2,1,0,0,0,0
06009,0,0,0,0,0,0,0,1,0,0,2,0
07001,0,0,0,0,1,0,0,0,0,0,2,0
07002,0,0,0,0,0,0,1,0,2,0,0,0
07003,0,0,0,0,0,0,0,1,2,0,0,0
08001,0,0,0,0,0,0,1,0,0,0,2,0
08002,0,0,0,0,0,0,0,1,0,0,2,0
08003,0,0,0,1,0,0,0,0,0,0,2,0
09001,0,0,0,0,0,0,2,0,1,0,0,0
09002,0,0,0,0,1,0,0,0,2,0,0,0
10001,0,0,0,0,0,0,2,0,0,0,1,0
10002,0,0,0,0,0,0,0,1,0,0,2,0
10003,0,0,0,0,0,0,2,0,0,0,1,0
11001,0,0,0,0,0,0,0,0,2,0,1,0
11002,0,0,0,0,0,0,2,0,0,0,1,0
11003,0,0,0,0,0,0,0,0,2,0,1,0
12001,0,0,0,0,0,0,1,0,2,0,0,0
12002,0,0,0,0,0,0,2,0,1,0,0,0
12003,0,0,0,0,0,0,1,0,2,0,0,0
13001,0,0,0,0,0,0,1,0,0,0,2,0
13002,0,0,0,0,0,0,1,0,2,0,0,0
13003,0,0,0,0,0,0,0,0,2,0,1,0
13004,0,0,0,0,0,0,2,0,1,0,0,0
13005,0,0,0,0,0,0,2,0,1,0,0,0
13006,0,0,0,0,0,0,1,0,0,0,2,0
13007,0,0,0,0,0,0,0,0,1,0,2,0
13008,0,0,0,0,0,0,1,0,0,0,2,0
13009,0,0,0,0,0,0,0,0,2,0,1,0
13010,0,0,0,0,0,0,0,0,2,0,1,0
13011,0,0,0,0,0,0,1,0,0,0,2,0
13012,0,0,0,0,0,0,0,2,0,0,1,0
13013,0,0,0,0,0,0,0,0,1,0,2,0
13014,0,0,0,0,0,0,1,0,2,0,0,0
13015,0,0,0,0,0,0,2,0,0,0,1,0
13016,0,0,0,0,0,0,0,0,2,0,1,0
14001,0,0,0,0,0,0,1,0,2,0,0,0
14002,0,0,0,0,0,0,2,0,1,0,0,0
14003,0,0,0,0,0,0,1,0,0,0,2,0
14004,0,0,0,0,0,0,1,0,2,0,0,0
14005,0,0,0,0,0,0,1,0,2,0,0,0
14006,0,0,0,0,0,0,1,0,2,0,0,0
15001,0,0,0,0,0,0,2,1,0,0,0,0
15002,0,0,0,0,0,0,2,1,0,0,0,0
16001,0,0,0,0,0,0,1,0,2,0,0,0
16002,0,0,0,0,0,0,1,0,0,0,2,0
16003,0,0,0,0,0,0,2,0,0,0,1,0
17001,0,0,0,0,1,0,0,0,2,0,0,0
17002,0,0,0,0,0,0,1,0,2,0,0,0
17003,0,0,0,0,0,0,1,0,0,0,2,0
17004,0,0,0,0,0,0,1,0,0,0,2,0
17005,0,0,0,0,0,0,1,0,0,0,2,0
18001,0,0,0,0,0,0,1,0,2,0,0,0
18002,0,0,0,0,0,0,0,0,1,0,2,0
18003,0,0,0,0,0,0,1,0,0,0,2,0
19001,0,0,0,0,0,0,0,1,2,0,0,0
19002,0,0,0,0,0,0,0,1,2,0,0,0
21001,0,0,0,0,0,0,1,0,2,0,0,0
21002,0,0,0,0,0,0,1,0,2,0,0,0
21003,0,0,0,0,0,0,1,0,2,0,0,0
21004,0,0,0,0,0,0,0,1,0,0,2,0
21005,0,0,0,0,0,0,1,0,0,0,2,0
22001,0,0,0,0,0,0,1,0,2,0,0,0
22002,0,0,0,0,0,0,1,0,2,0,0,0
22003,0,0,0,0,0,0,0,1,2,0,0,0
22004,0,0,0,0,0,0,2,0,1,0,0,0
22005,0,0,0,0,0,0,1,0,2,0,0,0
23001,0,0,0,0,0,0,2,0,1,0,0,0
24001,0,0,0,0,0,0,2,0,1,0,0,0
24002,0,0,0,0,0,0,2,0,0,0,1,0
24003,0,0,0,0,0,0,1,0,2,0,3,0
24004,0,0,2,0,0,0,0,0,1,0,0,0
25001,0,0,0,0,0,0,1,0,2,0,0,0
25002,0,0,0,0,0,0,1,0,2,0,0,0
25003,0,0,0,0,0,0,1,0,0,0,2,0
25004,0,0,0,0,0,0,2,0,0,0,1,0
25005,0,0,0,0,0,0,2,1,0,0,0,0
26001,0,0,0,0,0,0,1,0,2,0,0,0
26002,0,0,0,0,0,0,0,0,2,0,1,0
26003,0,0,0,0,0,0,2,0,1,0,0,0
26004,0,0,0,0,0,0,0,1,2,0,0,0
27001,0,0,0,0,0,0,2,0,0,0,1,0
27002,0,0,0,0,0,0,2,0,0,0,1,0
27003,0,0,0,0,0,0,2,0,0,0,1,0
27004,0,0,0,0,0,0,0,0,1,0,2,0
27005,0,0,0,0,0,0,2,0,0,0,1,0
28001,0,0,0,0,0,0,1,0,2,0,0,0
