CodCirc2,NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,NbVoix,RapportExprimes,RapportInscrits,Elu,CodCirc,CodDept,CodeReg,index,LibCirElec,NbSap,CodReg,CodDpt,Elu2,Elu1
01001,3,BRETON,Xavier,M.,LR,Les Républicains,33889,"56,48","39,02",OUI,0101,01,84,467.0,1ère circonscription,1,84,01,OUI,
01002,2,DAUBIÉ,Romain,M.,ENS,Ensemble ! (Majorité présidentielle),38973,"55,09","38,24",OUI,0102,01,84,468.0,2ème circonscription,1,84,01,OUI,
01003,1,GIVERNET,Olga,Mme,ENS,Ensemble ! (Majorité présidentielle),32958,"63,00","39,16",OUI,0103,01,84,469.0,3ème circonscription,1,84,01,OUI,
01004,6,BUISSON,Jérôme,M.,RN,Rassemblement National,33186,"51,35","34,52",OUI,0104,01,84,470.0,4ème circonscription,1,84,01,OUI,
01005,8,CHAVENT,Marc,M.,UXD,Union de l'extrême droite,27040,"57,53","34,70",OUI,0105,01,84,471.0,5ème circonscription,1,84,01,OUI,
02001,4,DRAGON,Nicolas,M.,RN,Rassemblement National,24774,"54,49","34,38",OUI,0201,02,32,,1ère circonscription,1,32,02,,OUI
02002,1,DIVE,Julien,M.,LR,Les Républicains,22933,"50,58","31,34",OUI,0202,02,32,214.0,2ème circonscription,1,32,02,OUI,
02003,5,CASTERMAN,Eddy,M.,EXD,Extrême droite,23577,"57,64","35,73",OUI,0203,02,32,,3ème circonscription,1,32,02,,OUI
02004,3,BEAURAIN,José,M.,RN,Rassemblement National,25913,"55,04","32,83",OUI,0204,02,32,,4ème circonscription,1,32,02,,OUI
02005,1,DESSIGNY,Jocelyn,M.,RN,Rassemblement National,27670,"53,07","33,53",OUI,0205,02,32,,5ème circonscription,1,32,02,,OUI
03001,2,MONNET,Yannick,M.,UG,Union de la gauche,28470,"50,61","32,15",OUI,0301,03,84,472.0,1ère circonscription,1,84,03,OUI,
03002,1,BOVET,Jorys,M.,RN,Rassemblement National,22990,"43,27","28,78",OUI,0302,03,84,473.0,2ème circonscription,1,84,03,OUI,
03003,1,RAY,Nicolas,M.,LR,Les Républicains,31075,"59,07","38,79",OUI,0303,03,84,474.0,3ème circonscription,1,84,03,OUI,
04001,5,GIRARD,Christian,M.,RN,Rassemblement National,21533,"54,19","35,03",OUI,0401,04,93,531.0,1ère circonscription,1,93,04,OUI,
04002,2,VAGINAY,Sophie,Mme,UXD,Union de l'extrême droite,21655,"50,97","32,48",OUI,0402,04,93,532.0,2ème circonscription,1,93,04,OUI,
05001,3,ALLEMAND,Marie-José,Mme,UG,Union de la gauche,20242,"51,64","33,70",OUI,0501,05,93,533.0,1ère circonscription,1,93,05,OUI,
05002,3,ROSSI,Valérie,Mme,UG,Union de la gauche,20509,"56,35","37,61",OUI,0502,05,93,534.0,2ème circonscription,1,93,05,OUI,
06001,7,CIOTTI,Eric,M.,UXD,Union de l'extrême droite,22584,"45,14","27,58",OUI,0601,06,93,535.0,1ère circonscription,1,93,06,OUI,
06002,7,TIVOLI,Lionel,M.,RN,Rassemblement National,33246,"63,73","36,77",OUI,0602,06,93,536.0,2ème circonscription,1,93,06,OUI,
06003,4,CHAIX,Bernard,M.,UXD,Union de l'extrême droite,28884,"53,71","31,49",OUI,0603,06,93,537.0,3ème circonscription,1,93,06,OUI,
06004,1,MASSON,Alexandra,Mme,RN,Rassemblement National,30528,"56,27","35,64",OUI,0604,06,93,,4ème circonscription,1,93,06,,OUI
06005,2,D'INTORNI,Christelle,Mme,UXD,Union de l'extrême droite,29804,"50,35","32,67",OUI,0605,06,93,,5ème circonscription,1,93,06,,OUI
06006,3,MASSON,Bryan,M.,RN,Rassemblement National,27705,"50,85","34,55",OUI,0606,06,93,,6ème circonscription,1,93,06,,OUI
06007,6,PAUGET,Eric,M.,LR,Les Républicains,37955,"58,73","39,42",OUI,0607,06,93,541.0,7ème circonscription,1,93,06,OUI,
06008,2,MARTIN,Alexandra,Mme,LR,Les Républicains,28012,"52,57","33,19",OUI,0608,06,93,542.0,8ème circonscription,1,93,06,OUI,
06009,3,TABAROT,Michèle,Mme,LR,Les Républicains,28407,"52,99","34,47",OUI,0609,06,93,543.0,9ème circonscription,1,93,06,OUI,
07001,6,SAULIGNAC,Hervé,M.,UG,Union de la gauche,28302,"52,69","35,56",OUI,0701,07,84,475.0,1ère circonscription,1,84,07,OUI,
07002,5,TREBUCHET,Vincent,M.,UXD,Union de l'extrême droite,33914,"52,76","34,91",OUI,0702,07,84,476.0,2ème circonscription,1,84,07,OUI,
07003,5,BRUN,Fabrice,M.,DVD,Divers droite,20414,"34,65","25,20",OUI,0703,07,84,477.0,3ème circonscription,1,84,07,OUI,
08001,3,TERMET,Flavien,M.,RN,Rassemblement National,24184,"52,99","34,22",OUI,0801,08,44,263.0,1ère circonscription,1,44,08,OUI,
08002,6,CORDIER,Pierre,M.,DVD,Divers droite,20415,"55,63","33,87",OUI,0802,08,44,264.0,2ème circonscription,1,44,08,OUI,
08003,2,WARSMANN,Jean-Luc,M.,DVD,Divers droite,19503,"54,44","35,79",OUI,0803,08,44,265.0,3ème circonscription,1,44,08,OUI,
09001,4,FROGER,Martine,Mme,UG,Union de la gauche,19245,"50,74","33,52",OUI,0901,09,76,,1ère circonscription,1,76,09,,OUI
09002,5,PANIFOUS,Laurent,M.,UG,Union de la gauche,23608,"57,07","38,04",OUI,0902,09,76,419.0,2ème circonscription,1,76,09,OUI,
