Inscrits,CodCirc,CodCirc2
5068,97501,97501
69257,98702,98702
69038,98703,98703
97162,98801,98801
124939,98802,98802
25233,ZX01,ZX01
265898,ZZ01,ZZ01
81786,ZZ02,ZZ02
160627,ZZ03,ZZ03
158035,ZZ04,ZZ04
115497,ZZ05,ZZ05
159733,ZZ06,ZZ06
130815,ZZ07,ZZ07
148948,ZZ08,ZZ08
130380,ZZ09,ZZ09
113835,ZZ10,ZZ10
104601,ZZ11,ZZ11
75767,97101,97101
88702,97102,97102
85777,97103,97103
68702,97104,97104
80342,97201,97201
79665,97202,97202
60260,97203,97203
84423,97204,97204
59265,97301,97301
49684,97302,97302
88571,97401,97401
101744,97402,97402
98871,97403,97403
111500,97404,97404
90674,97405,97405
84791,97406,97406
121201,97407,97407
52473,97602,97602
84312,7501,7501
74579,7502,7502
73178,7503,7503
73204,7504,7504
72872,7511,7511
75515,7512,7512
77751,7513,7513
76408,7514,7514
79598,7515,7515
71353,7701,7701
80460,7702,7702
77929,7703,7703
88715,7704,7704
89815,7705,7705
82921,7706,7706
89267,7707,7707
97719,7708,7708
87773,7709,7709
83015,7710,7710
84214,7801,7801
86991,7802,7802
83538,7803,7803
80881,7804,7804
76785,7805,7805
77122,7806,7806
81635,7807,7807
75365,7808,7808
94147,7809,7809
92504,7810,7810
70651,7811,7811
72353,7812,7812
69850,9101,9101
92964,9102,9102
99150,9103,9103
99632,9104,9104
68718,9105,9105
83346,9106,9106
74187,9107,9107
76578,9108,9108
79812,9109,9109
62852,9110,9110
71712,9202,9202
81091,9204,9204
77514,9205,9205
76451,9206,9206
68222,9208,9208
63476,9209,9209
80263,9210,9210
93833,9212,9212
89348,9213,9213
77502,9303,9303
67468,9304,9304
65938,9305,9305
83486,9307,9307
62734,9308,9308
66403,9312,9312
85972,9401,9401
74405,9403,9403
74910,9404,9404
91708,9405,9405
82442,9406,9406
66811,9407,9407
77020,9408,9408
84034,9501,9501
78796,9502,9502
96317,9503,9503
76259,9504,9504
75779,9506,9506
68578,9507,9507
71644,9509,9509
66806,9510,9510
70391,1801,1801
68481,1802,1802
83666,1803,1803
91587,2801,2801
75580,2802,2802
71161,2803,2803
67367,2804,2804
77089,3601,3601
87371,3602,3602
71989,3701,3701
93139,3702,3702
99435,3703,3703
92739,3704,3704
87690,3705,3705
82775,4101,4101
80292,4102,4102
81055,4103,4103
78282,4501,4501
88623,4502,4502
70459,4503,4503
74113,4504,4504
73605,4505,4505
76104,4506,4506
70511,2101,2101
72032,2102,2102
72452,2103,2103
67452,2104,2104
85570,2105,2105
75796,2501,2501
78894,2502,2502
64751,2503,2503
65484,2504,2504
85273,2505,2505
64927,3901,3901
55691,3902,3902
70218,3903,3903
73867,5801,5801
78765,5802,5802
88348,7001,7001
75273,7101,7101
76630,7102,7102
80879,7103,7103
82638,7104,7104
85972,7105,7105
74976,8901,8901
72260,8902,8902
47558,9001,9001
46434,9002,9002
73292,1401,1401
69029,1402,1402
79972,1403,1403
104867,1404,1404
92950,1405,1405
96357,1406,1406
87406,2701,2701
79125,2702,2702
85653,2703,2703
93488,2704,2704
89826,2705,2705
86729,5001,5001
96785,5002,5002
111091,5003,5003
88677,5004,5004
68189,6101,6101
64536,6102,6102
70656,6103,6103
66621,7601,7601
95777,7602,7602
70633,7603,7603
86229,7604,7604
94907,7605,7605
109275,7606,7606
85544,7607,7607
64491,7608,7608
95448,7609,7609
110887,7610,7610
73181,0202,0202
61712,5901,5901
87386,5902,5902
101863,5904,5904
102301,5905,5905
95049,5906,5906
73452,5907,5907
68959,5908,5908
92071,5909,5909
83225,5910,5910
93231,5911,5911
86061,5913,5913
99470,5914,5914
97625,5915,5915
73889,5917,5917
81173,5921,5921
83251,6001,6001
74512,6003,6003
94206,6004,6004
73645,6005,6005
75862,6006,6006
77132,6007,6007
88606,6202,6202
89959,6204,6204
90922,6205,6205
94682,6207,6207
92392,6208,6208
80773,6209,6209
