CodCirc2,NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,NbVoix,RapportExprimes,RapportInscrits,Elu,CodCirc,CodDept,CodeReg,index,LibCirElec,NbSap,CodReg,CodDpt
ZS001,1,LENORMAND,Stéphane,M.,DVD,Divers droite,1665,"61,74","32,85",OUI,97501,975,0,0,Saint-Pierre-et-Miquelon,1,0,975
ZS001,2,BEAUMONT,Frédéric,M.,SOC,Parti socialiste,1032,"38,26","20,36",NON,97501,975,0,0,Saint-Pierre-et-Miquelon,1,0,975
ZP002,1,SANQUER,Nicole,Mme,DVD,Divers droite,17838,"55,88","25,76",OUI,98702,987,0,3,2ème circonscription,1,0,987
ZP002,5,CHAILLOUX,Steve,M.,UG,Union de la gauche,14086,"44,12","20,34",NON,98702,987,0,3,2ème circonscription,1,0,987
ZP003,3,REID ABERLOT,Mereana,Mme,UG,Union de la gauche,17308,"50,87","25,07",OUI,98703,987,0,4,3ème circonscription,1,0,987
ZP003,4,HAITI EPOUSE FLOSSE,Pascale,Mme,DVD,Divers droite,16716,"49,13","24,21",NON,98703,987,0,4,3ème circonscription,1,0,987
ZN001,2,METZDORF,Nicolas,M.,DVD,Divers droite,34577,"52,41","35,59",OUI,98801,988,0,5,1ere circonscription,1,0,988
ZN001,4,NAISSELINE,Omayra Lisa Meun,Mme,REG,Régionaliste,31399,"47,59","32,32",NON,98801,988,0,5,1ere circonscription,1,0,988
ZN002,2,TJIBAOU,Emmanuel,M.,REG,Régionaliste,51724,"57,44","41,40",OUI,98802,988,0,6,2ème circonscription,1,0,988
ZN002,6,PONGA,Alcide,M.,DVD,Divers droite,38320,"42,56","30,67",NON,98802,988,0,6,2ème circonscription,1,0,988
ZX001,1,QUESTEL,Alexandra,Mme,DVD,Divers droite,3095,"43,98","12,27",NON,ZX01,ZX,0,7,1ère circonscription,1,0,ZX
ZX001,8,GUMBS,Frantz,M.,DVC,Divers centre,3942,"56,02","15,62",OUI,ZX01,ZX,0,7,1ère circonscription,1,0,ZX
ZZ001,1,LESCURE,Roland,M.,ENS,Ensemble ! (Majorité présidentielle),50333,"54,25","18,93",OUI,ZZ01,ZZ,0,8,1ere circonscription,1,0,ZZ
ZZ001,8,LARAICHI,Oussama,M.,UG,Union de la gauche,42439,"45,75","15,96",NON,ZZ01,ZZ,0,8,1ere circonscription,1,0,ZZ
ZZ002,6,CAROIT,Eléonore,Mme,ENS,Ensemble ! (Majorité présidentielle),9947,"53,27","12,16",OUI,ZZ02,ZZ,0,9,2ème circonscription,1,0,ZZ
ZZ002,7,CORONADO,Sergio,M.,UG,Union de la gauche,8725,"46,73","10,67",NON,ZZ02,ZZ,0,9,2ème circonscription,1,0,ZZ
ZZ003,1,MINVIELLE,Charlotte,Mme,UG,Union de la gauche,37326,"49,46","23,24",NON,ZZ03,ZZ,0,10,3ème circonscription,1,0,ZZ
ZZ003,5,CAURE,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle),38134,"50,54","23,74",OUI,ZZ03,ZZ,0,10,3ème circonscription,1,0,ZZ
ZZ004,2,GONDARD,Cécilia,Mme,UG,Union de la gauche,36127,"49,76","22,86",NON,ZZ04,ZZ,0,11,4ème circonscription,1,0,ZZ
ZZ004,9,ANGLADE,Pieyre-Alexandre,M.,ENS,Ensemble ! (Majorité présidentielle),36476,"50,24","23,08",OUI,ZZ04,ZZ,0,11,4ème circonscription,1,0,ZZ
ZZ005,2,DA SILVA,Maxime,M.,UG,Union de la gauche,16230,"38,53","14,05",NON,ZZ05,ZZ,0,12,5ème circonscription,1,0,ZZ
ZZ005,8,VOJETTA,Stéphane,M.,DVC,Divers centre,25894,"61,47","22,42",OUI,ZZ05,ZZ,0,12,5ème circonscription,1,0,ZZ
ZZ006,3,FERRACCI,Marc,M.,ENS,Ensemble ! (Majorité présidentielle),34771,"59,48","21,77",OUI,ZZ06,ZZ,0,13,6ème circonscription,1,0,ZZ
ZZ006,4,DELIMI,Halima,Mme,UG,Union de la gauche,23687,"40,52","14,83",NON,ZZ06,ZZ,0,13,6ème circonscription,1,0,ZZ
ZZ007,1,PETIT,Frédéric,M.,ENS,Ensemble ! (Majorité présidentielle),34516,"58,21","26,39",OUI,ZZ07,ZZ,0,14,7ème circonscription,1,0,ZZ
ZZ007,5,RHARMAOUI-CLAQUIN,Asma,Mme,UG,Union de la gauche,24784,"41,79","18,95",NON,ZZ07,ZZ,0,14,7ème circonscription,1,0,ZZ
ZZ008,5,HABIB,Meyer,M.,LR,Les Républicains,16428,"47,30","11,03",NON,ZZ08,ZZ,0,15,8ème circonscription,1,0,ZZ
ZZ008,6,YADAN,Caroline,Mme,ENS,Ensemble ! (Majorité présidentielle),18302,"52,70","12,29",OUI,ZZ08,ZZ,0,15,8ème circonscription,1,0,ZZ
ZZ009,8,DJOUADI,Samira,Mme,ENS,Ensemble ! (Majorité présidentielle),8893,"25,29","6,82",NON,ZZ09,ZZ,0,16,9ème circonscription,1,0,ZZ
ZZ009,9,BEN CHEÏKH,Karim,M.,UG,Union de la gauche,26271,"74,71","20,15",OUI,ZZ09,ZZ,0,16,9ème circonscription,1,0,ZZ
ZZ010,3,LAKRAFI,Amélia,Mme,ENS,Ensemble ! (Majorité présidentielle),17055,"53,23","14,98",OUI,ZZ10,ZZ,0,17,10ème circonscription,1,0,ZZ
ZZ010,6,DI MEO,Elsa,Mme,UG,Union de la gauche,14986,"46,77","13,16",NON,ZZ10,ZZ,0,17,10ème circonscription,1,0,ZZ
ZZ011,2,PAJOT,Franck,M.,UG,Union de la gauche,16172,"42,96","15,46",NON,ZZ11,ZZ,0,18,11ème circonscription,1,0,ZZ
ZZ011,13,GENETET,Anne,Mme,ENS,Ensemble ! (Majorité présidentielle),21468,"57,04","20,52",OUI,ZZ11,ZZ,0,18,11ème circonscription,1,0,ZZ
ZA001,4,SERVA,Olivier,M.,DVG,Divers gauche,18043,"77,59","23,81",OUI,97101,971,1,19,1ère circonscription,1,1,971
ZA001,7,LERUS,Chantal,Mme,DVG,Divers gauche,5211,"22,41","6,88",NON,97101,971,1,19,1ère circonscription,1,1,971
ZA002,6,BAPTISTE,Christian,M.,DVG,Divers gauche,19801,"72,38","22,32",OUI,97102,971,1,20,2ème circonscription,1,1,971
ZA002,14,PETIT,Laurent,M.,RN,Rassemblement National,7557,"27,62","8,52",NON,97102,971,1,20,2ème circonscription,1,1,971
ZA003,2,MATHIASIN,Max,M.,DVG,Divers gauche,21715,"69,15","25,32",OUI,97103,971,1,21,3ème circonscription,1,1,971
ZA003,10,TOLASSY,Rody,M.,RN,Rassemblement National,9687,"30,85","11,29",NON,97103,971,1,21,3ème circonscription,1,1,971
ZA004,1,CALIFER,Elie,M.,SOC,Parti socialiste,15068,"71,09","21,93",OUI,97104,971,1,22,4ème circonscription,1,1,971
ZA004,6,LINON,Jennifer,Mme,DVC,Divers centre,6127,"28,91","8,92",NON,97104,971,1,22,4ème circonscription,1,1,971
ZB001,2,EDMOND-MARIETTE,Philippe,M.,REG,Régionaliste,4081,"18,03","5,08",NON,97201,972,2,23,1ère circonscription,1,2,972
ZB001,8,WILLIAM,Jiovanny,M.,REG,Régionaliste,18552,"81,97","23,09",OUI,97201,972,2,23,1ère circonscription,1,2,972
ZB002,4,NADEAU,Marcellin,M.,REG,Régionaliste,17230,"65,68","21,63",OUI,97202,972,2,24,2ème circonscription,1,2,972
ZB002,5,MONPLAISIR,Yan,M.,DVD,Divers droite,9003,"34,32","11,30",NON,97202,972,2,24,2ème circonscription,1,2,972
ZB003,2,BELLAY,Beatrice,Mme,SOC,Parti socialiste,10243,"54,53","17,00",OUI,97203,972,2,25,3ème circonscription,1,2,972
ZB003,3,HAJJAR,Johnny,M.,DVG,Divers gauche,8541,"45,47","14,17",NON,97203,972,2,25,3ème circonscription,1,2,972
ZB004,4,NILOR,Jean-Philippe,M.,REG,Régionaliste,21620,"86,58","25,61",OUI,97204,972,2,26,4ème circonscription,1,2,972
