CodCirElec,LibCirElec,NbSap,CodReg,CodDpt,CodCirc2
97501,Saint-Pierre-et-Miquelon,1,00,975,ZS001
98601,1ère circonscription,1,00,986,ZW001
98701,1ere circonscription,1,00,987,ZP001
98702,2ème circonscription,1,00,987,ZP002
98703,3ème circonscription,1,00,987,ZP003
98801,1ere circonscription,1,00,988,ZN001
98802,2ème circonscription,1,00,988,ZN002
ZX01,1ère circonscription,1,00,ZX,ZX001
ZZ01,1ere circonscription,1,00,ZZ,ZZ001
ZZ02,2ème circonscription,1,00,ZZ,ZZ002
ZZ03,3ème circonscription,1,00,ZZ,ZZ003
ZZ04,4ème circonscription,1,00,ZZ,ZZ004
ZZ05,5ème circonscription,1,00,ZZ,ZZ005
ZZ06,6ème circonscription,1,00,ZZ,ZZ006
ZZ07,7ème circonscription,1,00,ZZ,ZZ007
ZZ08,8ème circonscription,1,00,ZZ,ZZ008
ZZ09,9ème circonscription,1,00,ZZ,ZZ009
ZZ10,10ème circonscription,1,00,ZZ,ZZ010
ZZ11,11ème circonscription,1,00,ZZ,ZZ011
97101,1ère circonscription,1,01,971,ZA001
97102,2ème circonscription,1,01,971,ZA002
97103,3ème circonscription,1,01,971,ZA003
97104,4ème circonscription,1,01,971,ZA004
97201,1ère circonscription,1,02,972,ZB001
97202,2ème circonscription,1,02,972,ZB002
97203,3ème circonscription,1,02,972,ZB003
97204,4ème circonscription,1,02,972,ZB004
97301,1ère circonscription,1,03,973,ZC001
97302,2ème circonscription,1,03,973,ZC002
97401,1ère circonscription,1,04,974,ZD001
97402,2ème circonscription,1,04,974,ZD002
97403,3ème circonscription,1,04,974,ZD003
97404,4ème circonscription,1,04,974,ZD004
97405,5ème circonscription,1,04,974,ZD005
97406,6ème circonscription,1,04,974,ZD006
97407,7ème circonscription,1,04,974,ZD007
97601,1ère circonscription,1,06,976,ZM001
97602,2ème circonscription,1,06,976,ZM002
7501,1ère circonscription,1,11,75,75001
7502,2ème circonscription,1,11,75,75002
7503,3ème circonscription,1,11,75,75003
7504,4ème circonscription,1,11,75,75004
7505,5ème circonscription,1,11,75,75005
7506,6ème circonscription,1,11,75,75006
7507,7ème circonscription,1,11,75,75007
7508,8ème circonscription,1,11,75,75008
7509,9ème circonscription,1,11,75,75009
7510,10ème circonscription,1,11,75,75010
7511,11ème circonscription,1,11,75,75011
7512,12ème circonscription,1,11,75,75012
7513,13ème circonscription,1,11,75,75013
7514,14ème circonscription,1,11,75,75014
7515,15ème circonscription,1,11,75,75015
7516,16ème circonscription,1,11,75,75016
7517,17ème circonscription,1,11,75,75017
7518,18ème circonscription,1,11,75,75018
7701,1ère circonscription,1,11,77,77001
7702,2ème circonscription,1,11,77,77002
7703,3ème circonscription,1,11,77,77003
7704,4ème circonscription,1,11,77,77004
7705,5ème circonscription,1,11,77,77005
7706,6ème circonscription,1,11,77,77006
7707,7ème circonscription,1,11,77,77007
7708,8ème circonscription,1,11,77,77008
7709,9ème circonscription,1,11,77,77009
7710,10ème circonscription,1,11,77,77010
7711,11ème circonscription,1,11,77,77011
7801,1ère circonscription,1,11,78,78001
7802,2ème circonscription,1,11,78,78002
7803,3ème circonscription,1,11,78,78003
7804,4ème circonscription,1,11,78,78004
7805,5ème circonscription,1,11,78,78005
7806,6ème circonscription,1,11,78,78006
7807,7ème circonscription,1,11,78,78007
7808,8ème circonscription,1,11,78,78008
7809,9ème circonscription,1,11,78,78009
7810,10ème circonscription,1,11,78,78010
7811,11ème circonscription,1,11,78,78011
7812,12ème circonscription,1,11,78,78012
9101,1ère circonscription,1,11,91,91001
9102,2ème circonscription,1,11,91,91002
9103,3ème circonscription,1,11,91,91003
9104,4ème circonscription,1,11,91,91004
9105,5ème circonscription,1,11,91,91005
9106,6ème circonscription,1,11,91,91006
9107,7ème circonscription,1,11,91,91007
9108,8ème circonscription,1,11,91,91008
9109,9ème circonscription,1,11,91,91009
9110,10ème circonscription,1,11,91,91010
9201,1ère circonscription,1,11,92,92001
9202,2ème circonscription,1,11,92,92002
9203,3ème circonscription,1,11,92,92003
9204,4ème circonscription,1,11,92,92004
9205,5ème circonscription,1,11,92,92005
9206,6ème circonscription,1,11,92,92006
9207,7ème circonscription,1,11,92,92007
9208,8ème circonscription,1,11,92,92008
9209,9ème circonscription,1,11,92,92009
9210,10ème circonscription,1,11,92,92010
9211,11ème circonscription,1,11,92,92011
9212,12ème circonscription,1,11,92,92012
9213,13ème circonscription,1,11,92,92013
9301,1ère circonscription,1,11,93,93001
9302,2ème circonscription,1,11,93,93002
9303,3ème circonscription,1,11,93,93003
9304,4ème circonscription,1,11,93,93004
9305,5ème circonscription,1,11,93,93005
9306,6ème circonscription,1,11,93,93006
9307,7ème circonscription,1,11,93,93007
9308,8ème circonscription,1,11,93,93008
9309,9ème circonscription,1,11,93,93009
9310,10ème circonscription,1,11,93,93010
9311,11ème circonscription,1,11,93,93011
9312,12ème circonscription,1,11,93,93012
9401,1ère circonscription,1,11,94,94001
9402,2ème circonscription,1,11,94,94002
9403,3ème circonscription,1,11,94,94003
9404,4ème circonscription,1,11,94,94004
9405,5ème circonscription,1,11,94,94005
9406,6ème circonscription,1,11,94,94006
9407,7ème circonscription,1,11,94,94007
9408,8ème circonscription,1,11,94,94008
9409,9ème circonscription,1,11,94,94009
9410,10ème circonscription,1,11,94,94010
9411,11ème circonscription,1,11,94,94011
9501,1ère circonscription,1,11,95,95001
9502,2ème circonscription,1,11,95,95002
9503,3ème circonscription,1,11,95,95003
9504,4ème circonscription,1,11,95,95004
9505,5ème circonscription,1,11,95,95005
9506,6ème circonscription,1,11,95,95006
9507,7ème circonscription,1,11,95,95007
9508,8ème circonscription,1,11,95,95008
9509,9ème circonscription,1,11,95,95009
9510,10ème circonscription,1,11,95,95010
1801,1ère circonscription,1,24,18,18001
1802,2ème circonscription,1,24,18,18002
1803,3ème circonscription,1,24,18,18003
2801,1ère circonscription,1,24,28,28001
2802,2ème circonscription,1,24,28,28002
2803,3ème circonscription,1,24,28,28003
2804,4ème circonscription,1,24,28,28004
3601,1ère circonscription,1,24,36,36001
3602,2ème circonscription,1,24,36,36002
3701,1ère circonscription,1,24,37,37001
3702,2ème circonscription,1,24,37,37002
3703,3ème circonscription,1,24,37,37003
3704,4ème circonscription,1,24,37,37004
3705,5ème circonscription,1,24,37,37005
4101,1ère circonscription,1,24,41,41001
4102,2ème circonscription,1,24,41,41002
4103,3ème circonscription,1,24,41,41003
4501,1ère circonscription,1,24,45,45001
4502,2ème circonscription,1,24,45,45002
4503,3ème circonscription,1,24,45,45003
4504,4ème circonscription,1,24,45,45004
4505,5ème circonscription,1,24,45,45005
4506,6ème circonscription,1,24,45,45006
2101,1ère circonscription,1,27,21,21001
2102,2ème circonscription,1,27,21,21002
2103,3ème circonscription,1,27,21,21003
2104,4ème circonscription,1,27,21,21004
2105,5ème circonscription,1,27,21,21005
2501,1ère circonscription,1,27,25,25001
2502,2ème circonscription,1,27,25,25002
2503,3ème circonscription,1,27,25,25003
2504,4ème circonscription,1,27,25,25004
2505,5ème circonscription,1,27,25,25005
3901,1ère circonscription,1,27,39,39001
3902,2ème circonscription,1,27,39,39002
3903,3ème circonscription,1,27,39,39003
5801,1ère circonscription,1,27,58,58001
5802,2ème circonscription,1,27,58,58002
7001,1ère circonscription,1,27,70,70001
7002,2ème circonscription,1,27,70,70002
7101,1ère circonscription,1,27,71,71001
7102,2ème circonscription,1,27,71,71002
7103,3ème circonscription,1,27,71,71003
7104,4ème circonscription,1,27,71,71004
7105,5ème circonscription,1,27,71,71005
8901,1ère circonscription,1,27,89,89001
8902,2ème circonscription,1,27,89,89002
8903,3ème circonscription,1,27,89,89003
9001,1ère circonscription,1,27,90,90001
9002,2ème circonscription,1,27,90,90002
1401,1ère circonscription,1,28,14,14001
1402,2ème circonscription,1,28,14,14002
1403,3ème circonscription,1,28,14,14003
1404,4ème circonscription,1,28,14,14004
1405,5ème circonscription,1,28,14,14005
1406,6ème circonscription,1,28,14,14006
2701,1ère circonscription,1,28,27,27001
2702,2ème circonscription,1,28,27,27002
2703,3ème circonscription,1,28,27,27003
2704,4ème circonscription,1,28,27,27004
2705,5ème circonscription,1,28,27,27005
5001,1ère circonscription,1,28,50,50001
5002,2ème circonscription,1,28,50,50002
5003,3ème circonscription,1,28,50,50003
5004,4ème circonscription,1,28,50,50004
6101,1ère circonscription,1,28,61,61001
6102,2ème circonscription,1,28,61,61002
6103,3ème circonscription,1,28,61,61003
7601,1ère circonscription,1,28,76,76001
7602,2ème circonscription,1,28,76,76002
7603,3ème circonscription,1,28,76,76003
7604,4ème circonscription,1,28,76,76004
7605,5ème circonscription,1,28,76,76005
7606,6ème circonscription,1,28,76,76006
7607,7ème circonscription,1,28,76,76007
7608,8ème circonscription,1,28,76,76008
7609,9ème circonscription,1,28,76,76009
7610,10ème circonscription,1,28,76,76010
0201,1ère circonscription,1,32,02,02001
0202,2ème circonscription,1,32,02,02002
0203,3ème circonscription,1,32,02,02003
0204,4ème circonscription,1,32,02,02004
0205,5ème circonscription,1,32,02,02005
5901,1ère circonscription,1,32,59,59001
5902,2ème circonscription,1,32,59,59002
5903,3ème circonscription,1,32,59,59003
5904,4ème circonscription,1,32,59,59004
5905,5ème circonscription,1,32,59,59005
5906,6ème circonscription,1,32,59,59006
5907,7ème circonscription,1,32,59,59007
5908,8ème circonscription,1,32,59,59008
5909,9ème circonscription,1,32,59,59009
5910,10ème circonscription,1,32,59,59010
5911,11ème circonscription,1,32,59,59011
5912,12ème circonscription,1,32,59,59012
5913,13ème circonscription,1,32,59,59013
5914,14ème circonscription,1,32,59,59014
5915,15ème circonscription,1,32,59,59015
5916,16ème circonscription,1,32,59,59016
5917,17ème circonscription,1,32,59,59017
5918,18ème circonscription,1,32,59,59018
5919,19ème circonscription,1,32,59,59019
5920,20ème circonscription,1,32,59,59020
5921,21ème circonscription,1,32,59,59021
6001,1ère circonscription,1,32,60,60001
6002,2ème circonscription,1,32,60,60002
6003,3ème circonscription,1,32,60,60003
6004,4ème circonscription,1,32,60,60004
6005,5ème circonscription,1,32,60,60005
6006,6ème circonscription,1,32,60,60006
6007,7ème circonscription,1,32,60,60007
6201,1ère circonscription,1,32,62,62001
6202,2ème circonscription,1,32,62,62002
6203,3ème circonscription,1,32,62,62003
6204,4ème circonscription,1,32,62,62004
6205,5ème circonscription,1,32,62,62005
