CodCirc2,COM,DIV,DSV,DVC,DVD,DVG,ECO,ENS,EXD,EXG,FI,HOR,LR,RDG,REC,REG,RN,SOC,UDI,UG,UXD,VEC
01001,,,"VINCENT Cyril, MENDES Michael",,,,,GUILLERMIN Vincent,,LAHY Éric,,,BRETON Xavier,,,,MAÎTRE Christophe,,,GUERAUD Sébastien,,
01002,,,,,,,,DAUBIÉ Romain,EYRAUD Olivier,GOUTAGNY Vincent,,,NANCHI Alexandre,,,,KOTARAC Andréa,,,MEYER Maxime,,
01003,,"TONIZZO Sofia, KOUASSI Fulgence",VEILLEROT Annick,,,,,GIVERNET Olga,,MAISONNETTE Cécile,,,UNAL Khadija,,,,DUBARRY Karine,,,JOLIE Christian,,
01004,,"BRESSON Yannick, NICAUD Jérémy",,,,,,COQUELET Christophe,,COUSSON Sylvain,,,BILLOUDET Guy,,,,BUISSON Jérôme,,,LIOTIER Charline,,
01005,,,,,ABAD Damien,,CHATELARD Thomas,DESCOURS Nathalie,,CROZET Sylvie,,,BOURDIN Fabrice,,PATRU Maria Cristina,,,,,PISANI Florence,CHAVENT Marc,
02001,,BOUFFLET Matthieu Léon,,,,,,DELAVENNE Damien,,PERNELLE Jean-Loup,,,,,TRÉGUIER Philippe,,DRAGON Nicolas,,,CULIOLI Charles,,
02002,,,,,,,,,,"BÉCOURT Corinne, ZANDITÉNAS Anne",,,DIVE Julien,,KACZMAREK Didier,,TORRE Philippe,,,DUJANCOURT Anne-Sophie,,
02003,,,CRÉON Damien,,,BRICOUT Jean-Louis,,,CASTERMAN Eddy,VOISIN Laetitia,,,,,FOURNIER Anne-Marie,,,,,,,
02004,,,,,,,,MAURICE Benjamin,GOUJARD Philippe,BOUILLAGUET Flora,,,,,,,BEAURAIN José,,,PRIÉ Lola,,
02005,,,,,,,,ROUSSEL Jeanne,,MERBOUCHE Yona,,,GILQUIN Jade,,,,DESSIGNY Jocelyn,,,BELAÏD Karim,,
03001,,,,,,,,LARZAT Stephane,,COLLOT Jean-Marc,,,BARDET Alexandra,,AGEZ Blandine,,THÈS Anne-Marie,,GUILLAUMIN Jean-Marie,MONNET Yannick,,
03002,,,,,ROUSSEAUX Nicolas,,,VANCEUNEBROCK Laurence,,LEBEL Bernard,,,LEFEBVRE Romain,,GONÇALVES Alice,,BOVET Jorys,,,HERITIER Louise,,
03003,,,,,,,,,,RAMEAU Jean-François,,,RAY Nicolas,,,,QUENEY Rémy,,,JEUDI Aline,,
04001,,,,,,,,GAUVAN Benoit,,ROS Annabel,,,RAPONI Sandra,,CAMPART Patricia,,GIRARD Christian,,LAKHLEF TSALAMLAL Nadia,BLANC Felix,,
04002,,,,,REYNAUD Loan,,,BLANC Dominique,,CYVOCT Henri,,,,,CADENEL Myriam,,,,,WALTER Léo,VAGINAY Sophie,
05001,,,,,,,,BOYER Pascale,,BUISSON Véronique,,,DEININGER Dorian,,,,SAINTE-MARIE Jérôme,,,ALLEMAND Marie-José,,
05002,,MONDAIN Johann,,,,,,FINE Sébastien,,GUIGNARD Boris,,,,,,,ALBRAND Louis,,,ROSSI Valérie,,
06001,,BOVIS Maxime,,,,,BEN MOULAY Lalla Chama,MONETTI Graig,,LANGOUET Alain,,,VANIER-GUÉRIN Virgile,,,SPACH Jean-Claude Wahid,,,,SALERNO Olivier,CIOTTI Eric,
06002,,,,,,,MIRAN Patrice,VARRONE David,PORET-RINCK Indiana,IMBERT Florent,,,DARAGON Simon,,,,TIVOLI Lionel,,,TONNERRE Leïla,,
06003,,,DELHEZ Thibault,,,,"CAUSSIN Marie Françoise, VIVO Marjorie",PRADAL Philippe,,JAQUET Estelle,,,,,,,,,,QUIGNARD Laure,CHAIX Bernard,
06004,,,,,,,BEYL Christine,GUEDON Anne-Pascale,,MARKIEL Joseph,,,,,,,MASSON Alexandra,,,PARENT Virginie,,
