NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,NbVoix,RapportExprimes,RapportInscrits,Elu,CodCirc,CodDept,CodeReg,LibCirElec,NbSap,CodReg,CodDpt,CodCirc2
1,LENORMAND,Stéphane,M.,DVD,Divers droite,1184,"43,09","23,36",QUALIF T2,97501,975,00,Saint-Pierre-et-Miquelon,1,00,975,ZS001
2,BEAUMONT,Frédéric,M.,SOC,Parti socialiste,464,"16,89","9,15",QUALIF T2,97501,975,00,Saint-Pierre-et-Miquelon,1,00,975,ZS001
3,CHAGNON,Patricia,Mme,RN,Rassemblement National,291,"10,59","5,74",NON,97501,975,00,Saint-Pierre-et-Miquelon,1,00,975,ZS001
4,LETOURNEL,Marion,Mme,FI,La France insoumise,409,"14,88","8,07",NON,97501,975,00,Saint-Pierre-et-Miquelon,1,00,975,ZS001
5,LEBAILLY,Patrick,M.,DVG,Divers gauche,400,"14,56","7,89",NON,97501,975,00,Saint-Pierre-et-Miquelon,1,00,975,ZS001
1,TOKOTUU,Otilone,M.,DVD,Divers droite,320,"4,65","3,54",NON,98601,986,00,1ère circonscription,1,00,986,ZW001
2,KANIMOA NÉE TAGANE,Lavinia,Mme,DVD,Divers droite,1248,"18,15","13,82",NON,98601,986,00,1ère circonscription,1,00,986,ZW001
3,TIALETAGI EPOUSE VERGE,Lauriane,Mme,DVC,Divers centre,1028,"14,95","11,38",NON,98601,986,00,1ère circonscription,1,00,986,ZW001
4,SEO,Mikaele,M.,ENS,Ensemble ! (Majorité présidentielle),4281,"62,25","47,40",OUI,98601,986,00,1ère circonscription,1,00,986,ZW001
1,LE GAYIC,Tematai,M.,REG,Régionaliste,12243,"35,72","16,59",NON,98701,987,00,1ere circonscription,1,00,987,ZP001
2,BRYANT,Jacky,M.,ECO,Ecologistes,1404,"4,10","1,90",NON,98701,987,00,1ere circonscription,1,00,987,ZP001
3,FREBAULT,Moerani,M.,DVD,Divers droite,18456,"53,85","25,02",OUI,98701,987,00,1ere circonscription,1,00,987,ZP001
4,HEAUX,James,M.,RN,Rassemblement National,2168,"6,33","2,94",NON,98701,987,00,1ere circonscription,1,00,987,ZP001
1,SANQUER,Nicole,Mme,DVD,Divers droite,12986,"49,09","18,75",QUALIF T2,98702,987,00,2ème circonscription,1,00,987,ZP002
2,TARA,Jules Tehuiarii,M.,DVD,Divers droite,19,"0,07","0,03",NON,98702,987,00,2ème circonscription,1,00,987,ZP002
3,SALMON,Tati,M.,ECO,Ecologistes,1047,"3,96","1,51",NON,98702,987,00,2ème circonscription,1,00,987,ZP002
4,TETUANUI,Tutu,M.,RN,Rassemblement National,1240,"4,69","1,79",NON,98702,987,00,2ème circonscription,1,00,987,ZP002
5,CHAILLOUX,Steve,M.,REG,Régionaliste,11162,"42,19","16,12",QUALIF T2,98702,987,00,2ème circonscription,1,00,987,ZP002
1,MIHURAA,Naumi,Mme,DVD,Divers droite,3230,"11,05","4,68",NON,98703,987,00,3ème circonscription,1,00,987,ZP003
2,HAUATA,Jules,M.,ECO,Ecologistes,1507,"5,16","2,18",NON,98703,987,00,3ème circonscription,1,00,987,ZP003
3,REID ABERLOT,Mereana,Mme,REG,Régionaliste,12483,"42,71","18,08",QUALIF T2,98703,987,00,3ème circonscription,1,00,987,ZP003
4,HAITI EPOUSE FLOSSE,Pascale,Mme,DVD,Divers droite,12006,"41,08","17,39",QUALIF T2,98703,987,00,3ème circonscription,1,00,987,ZP003
1,DUNOYER,Philippe,M.,HOR,Horizons,5791,"10,33","5,96",NON,98801,988,00,1ere circonscription,1,00,988,ZN001
2,METZDORF,Nicolas,M.,DVD,Divers droite,22316,"39,81","22,97",QUALIF T2,98801,988,00,1ere circonscription,1,00,988,ZN001
3,ANGEXETINE ÉP RAILATI,Juanita Ciane,Mme,REG,Régionaliste,344,"0,61","0,35",NON,98801,988,00,1ere circonscription,1,00,988,ZN001
4,NAISSELINE,Omayra Lisa Meun,Mme,REG,Régionaliste,20370,"36,34","20,96",QUALIF T2,98801,988,00,1ere circonscription,1,00,988,ZN001
5,NASRI,Thomas,M.,REC,Reconquête !,158,"0,28","0,16",NON,98801,988,00,1ere circonscription,1,00,988,ZN001
6,MILLAR,Manuel,M.,DIV,Divers,63,"0,11","0,06",NON,98801,988,00,1ere circonscription,1,00,988,ZN001
7,CUENOT,Pierre-Henri,M.,DVD,Divers droite,173,"0,31","0,18",NON,98801,988,00,1ere circonscription,1,00,988,ZN001
8,HAOCAS,Muneiko,Mme,REG,Régionaliste,1229,"2,19","1,26",NON,98801,988,00,1ere circonscription,1,00,988,ZN001
9,LOUECKHOTE,Simon,M.,RN,Rassemblement National,2562,"4,57","2,64",NON,98801,988,00,1ere circonscription,1,00,988,ZN001
10,NEMIA ÉP BISHOP,Germaine Toléta,Mme,REG,Régionaliste,78,"0,14","0,08",NON,98801,988,00,1ere circonscription,1,00,988,ZN001
11,FALAEO,Veylma,Mme,DVG,Divers gauche,2731,"4,87","2,81",NON,98801,988,00,1ere circonscription,1,00,988,ZN001
12,DEVAUD,Cédric,M.,ECO,Ecologistes,235,"0,42","0,24",NON,98801,988,00,1ere circonscription,1,00,988,ZN001
1,TUKUMULI,Milakulo,M.,DVG,Divers gauche,8906,"11,92","7,13",NON,98802,988,00,2ème circonscription,1,00,988,ZN002
2,TJIBAOU,Emmanuel,M.,REG,Régionaliste,32926,"44,06","26,35",QUALIF T2,98802,988,00,2ème circonscription,1,00,988,ZN002
3,FRERE,Ronald,M.,REG,Régionaliste,808,"1,08","0,65",NON,98802,988,00,2ème circonscription,1,00,988,ZN002
4,VOUDJO,Luther,M.,REG,Régionaliste,1114,"1,49","0,89",NON,98802,988,00,2ème circonscription,1,00,988,ZN002
6,PONGA,Alcide,M.,DVD,Divers droite,27038,"36,18","21,64",QUALIF T2,98802,988,00,2ème circonscription,1,00,988,ZN002
7,POADJA,Gérard,M.,HOR,Horizons,3946,"5,28","3,16",NON,98802,988,00,2ème circonscription,1,00,988,ZN002
1,QUESTEL,Alexandra,Mme,DVD,Divers droite,1378,"19,92","5,46",QUALIF T2,ZX01,ZX,00,1ère circonscription,1,00,ZX,ZX001
2,MEUNIER,Hervé,M.,DIV,Divers,230,"3,32","0,91",NON,ZX01,ZX,00,1ère circonscription,1,00,ZX,ZX001
3,KRIMI,Lila,Mme,DIV,Divers,102,"1,47","0,40",NON,ZX01,ZX,00,1ère circonscription,1,00,ZX,ZX001
4,PHILIDOR,Philippe,M.,DVD,Divers droite,1170,"16,91","4,64",NON,ZX01,ZX,00,1ère circonscription,1,00,ZX,ZX001
5,CHAPDELAINE,Clément,M.,REC,Reconquête !,680,"9,83","2,70",NON,ZX01,ZX,00,1ère circonscription,1,00,ZX,ZX001
6,FELIX,Diane,Mme,DIV,Divers,93,"1,34","0,37",NON,ZX01,ZX,00,1ère circonscription,1,00,ZX,ZX001
7,BETHEL,Ricardo,M.,DIV,Divers,399,"5,77","1,58",NON,ZX01,ZX,00,1ère circonscription,1,00,ZX,ZX001
8,GUMBS,Frantz,M.,DVC,Divers centre,2867,"41,44","11,36",QUALIF T2,ZX01,ZX,00,1ère circonscription,1,00,ZX,ZX001
1,LESCURE,Roland,M.,ENS,Ensemble ! (Majorité présidentielle),36363,"38,84","13,67",QUALIF T2,ZZ01,ZZ,00,1ere circonscription,1,00,ZZ,ZZ001
2,POURCHET,Alexandra,Mme,REC,Reconquête !,1357,"1,45","0,51",NON,ZZ01,ZZ,00,1ere circonscription,1,00,ZZ,ZZ001
3,LACOSTE,Greg,M.,DIV,Divers,1090,"1,16","0,41",NON,ZZ01,ZZ,00,1ere circonscription,1,00,ZZ,ZZ001
4,LADAM,Paloma,Mme,DVG,Divers gauche,67,"0,07","0,03",NON,ZZ01,ZZ,00,1ere circonscription,1,00,ZZ,ZZ001
5,PITON,Olivier,M.,LR,Les Républicains,4856,"5,19","1,83",NON,ZZ01,ZZ,00,1ere circonscription,1,00,ZZ,ZZ001
6,ADAM,Jennifer,Mme,RN,Rassemblement National,10018,"10,70","3,77",NON,ZZ01,ZZ,00,1ere circonscription,1,00,ZZ,ZZ001
7,FORNERIS,Elias,M.,DVD,Divers droite,1414,"1,51","0,53",NON,ZZ01,ZZ,00,1ere circonscription,1,00,ZZ,ZZ001
8,LARAICHI,Oussama,M.,UG,Union de la gauche,33822,"36,12","12,72",QUALIF T2,ZZ01,ZZ,00,1ere circonscription,1,00,ZZ,ZZ001
9,JACKSON,Véronique,Mme,DVC,Divers centre,4643,"4,96","1,75",NON,ZZ01,ZZ,00,1ere circonscription,1,00,ZZ,ZZ001
1,AGOSTINI,Jessica,Mme,DVC,Divers centre,987,"5,13","1,21",NON,ZZ02,ZZ,00,2ème circonscription,1,00,ZZ,ZZ002
2,GONCALVES,Marie-Nathalie,Mme,RN,Rassemblement National,2553,"13,28","3,12",NON,ZZ02,ZZ,00,2ème circonscription,1,00,ZZ,ZZ002
3,DUPONT,Bertrand,M.,LR,Les Républicains,1905,"9,91","2,33",NON,ZZ02,ZZ,00,2ème circonscription,1,00,ZZ,ZZ002
4,MERCIER,Camille,Mme,DIV,Divers,17,"0,09","0,02",NON,ZZ02,ZZ,00,2ème circonscription,1,00,ZZ,ZZ002
5,COURMONTAGNE,Nora,Mme,REC,Reconquête !,373,"1,94","0,46",NON,ZZ02,ZZ,00,2ème circonscription,1,00,ZZ,ZZ002
6,CAROIT,Eléonore,Mme,ENS,Ensemble ! (Majorité présidentielle),6440,"33,49","7,87",QUALIF T2,ZZ02,ZZ,00,2ème circonscription,1,00,ZZ,ZZ002
7,CORONADO,Sergio,M.,UG,Union de la gauche,6952,"36,16","8,50",QUALIF T2,ZZ02,ZZ,00,2ème circonscription,1,00,ZZ,ZZ002
1,MINVIELLE,Charlotte,Mme,UG,Union de la gauche,26873,"39,22","16,73",QUALIF T2,ZZ03,ZZ,00,3ème circonscription,1,00,ZZ,ZZ003
2,HESLAUT,Joel,M.,DVC,Divers centre,1251,"1,83","0,78",NON,ZZ03,ZZ,00,3ème circonscription,1,00,ZZ,ZZ003
3,PINOMAA-DANZÉ,Tanguy,M.,DVG,Divers gauche,701,"1,02","0,44",NON,ZZ03,ZZ,00,3ème circonscription,1,00,ZZ,ZZ003
4,COUTRET,Anthony,M.,REC,Reconquête !,752,"1,10","0,47",NON,ZZ03,ZZ,00,3ème circonscription,1,00,ZZ,ZZ003
5,CAURE,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle),26810,"39,13","16,69",QUALIF T2,ZZ03,ZZ,00,3ème circonscription,1,00,ZZ,ZZ003
6,CRAYE,Tim,M.,DVD,Divers droite,236,"0,34","0,15",NON,ZZ03,ZZ,00,3ème circonscription,1,00,ZZ,ZZ003
7,ROGER,Balthazar,Mme,LR,Les Républicains,3442,"5,02","2,14",NON,ZZ03,ZZ,00,3ème circonscription,1,00,ZZ,ZZ003
8,CONSTANTIN,Emmanuel,M.,ECO,Ecologistes,355,"0,52","0,22",NON,ZZ03,ZZ,00,3ème circonscription,1,00,ZZ,ZZ003
9,CHARBONNET,Sophie,Mme,RN,Rassemblement National,4504,"6,57","2,80",NON,ZZ03,ZZ,00,3ème circonscription,1,00,ZZ,ZZ003
10,LAMARRE,Assamahou,Mme,DVC,Divers centre,3365,"4,91","2,09",NON,ZZ03,ZZ,00,3ème circonscription,1,00,ZZ,ZZ003
11,BACHAUD,Yvan,M.,DIV,Divers,226,"0,33","0,14",NON,ZZ03,ZZ,00,3ème circonscription,1,00,ZZ,ZZ003
1,DE CAUSANS,Juliette,Mme,DVC,Divers centre,4318,"5,80","2,73",NON,ZZ04,ZZ,00,4ème circonscription,1,00,ZZ,ZZ004
2,GONDARD,Cécilia,Mme,UG,Union de la gauche,27898,"37,45","17,65",QUALIF T2,ZZ04,ZZ,00,4ème circonscription,1,00,ZZ,ZZ004
3,BEAUFILS,Charlotte,Mme,RN,Rassemblement National,6736,"9,04","4,26",NON,ZZ04,ZZ,00,4ème circonscription,1,00,ZZ,ZZ004
4,ROSSOLINI,Aude,Mme,DIV,Divers,463,"0,62","0,29",NON,ZZ04,ZZ,00,4ème circonscription,1,00,ZZ,ZZ004
5,MACHICOTE,Genevieve,Mme,LR,Les Républicains,4604,"6,18","2,91",NON,ZZ04,ZZ,00,4ème circonscription,1,00,ZZ,ZZ004
6,COURTIAL,Sacha,M.,DVG,Divers gauche,1563,"2,10","0,99",NON,ZZ04,ZZ,00,4ème circonscription,1,00,ZZ,ZZ004
7,BRISSET,Patrick,M.,DVD,Divers droite,1492,"2,00","0,94",NON,ZZ04,ZZ,00,4ème circonscription,1,00,ZZ,ZZ004
8,GIRARD,Anne-Catherine,Mme,REC,Reconquête !,1001,"1,34","0,63",NON,ZZ04,ZZ,00,4ème circonscription,1,00,ZZ,ZZ004
9,ANGLADE,Pieyre-Alexandre,M.,ENS,Ensemble ! (Majorité présidentielle),26410,"35,46","16,71",QUALIF T2,ZZ04,ZZ,00,4ème circonscription,1,00,ZZ,ZZ004
1,MILLOT,Sarah,Mme,DVG,Divers gauche,587,"1,36","0,51",NON,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
2,DA SILVA,Maxime,M.,UG,Union de la gauche,11267,"26,18","9,75",QUALIF T2,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
3,CALVET,Jean-François,M.,DSV,Droite souverainiste,308,"0,72","0,27",NON,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
4,MAZEL,Béatrice,Mme,REC,Reconquête !,794,"1,85","0,69",NON,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
5,BRENIER,Christopher,M.,DIV,Divers,132,"0,31","0,11",NON,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
6,SANCHEZ PEREZ,José,M.,DVC,Divers centre,2226,"5,17","1,93",NON,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
7,NATAF,David,M.,DIV,Divers,70,"0,16","0,06",NON,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
8,VOJETTA,Stéphane,M.,DVC,Divers centre,14492,"33,68","12,55",QUALIF T2,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
9,CASTRO,Yohann,M.,DVD,Divers droite,2069,"4,81","1,79",NON,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
10,FOSSE,Jeremie,M.,DVG,Divers gauche,2161,"5,02","1,87",NON,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
11,MAUREL,Johana,Mme,RN,Rassemblement National,8385,"19,49","7,26",NON,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
12,MARIE,Alexandre,M.,DVG,Divers gauche,353,"0,82","0,31",NON,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
13,LAGARDE,Maud,Mme,DIV,Divers,187,"0,43","0,16",NON,ZZ05,ZZ,00,5ème circonscription,1,00,ZZ,ZZ005
1,MERCERON,Déborah,Mme,RN,Rassemblement National,9158,"14,51","5,73",NON,ZZ06,ZZ,00,6ème circonscription,1,00,ZZ,ZZ006
2,JACQUEMOT,Marie-Julie,Mme,DVG,Divers gauche,651,"1,03","0,41",NON,ZZ06,ZZ,00,6ème circonscription,1,00,ZZ,ZZ006
3,FERRACCI,Marc,M.,ENS,Ensemble ! (Majorité présidentielle),25590,"40,54","16,02",QUALIF T2,ZZ06,ZZ,00,6ème circonscription,1,00,ZZ,ZZ006
4,DELIMI,Halima,Mme,UG,Union de la gauche,19446,"30,81","12,17",QUALIF T2,ZZ06,ZZ,00,6ème circonscription,1,00,ZZ,ZZ006
5,TISSOT,Philippe,M.,REC,Reconquête !,949,"1,50","0,59",NON,ZZ06,ZZ,00,6ème circonscription,1,00,ZZ,ZZ006
6,DORTHE,Arnaud,M.,DIV,Divers,627,"0,99","0,39",NON,ZZ06,ZZ,00,6ème circonscription,1,00,ZZ,ZZ006
7,VON AUW,Céline,Mme,ECO,Ecologistes,419,"0,66","0,26",NON,ZZ06,ZZ,00,6ème circonscription,1,00,ZZ,ZZ006
8,CORTICCHIATO,Olivier,M.,LR,Les Républicains,4172,"6,61","2,61",NON,ZZ06,ZZ,00,6ème circonscription,1,00,ZZ,ZZ006
9,DE CAUSANS,Jacques,M.,DVC,Divers centre,1888,"2,99","1,18",NON,ZZ06,ZZ,00,6ème circonscription,1,00,ZZ,ZZ006
10,SELLES LEFRANC,Michèle,Mme,RDG,Parti radical de gauche,222,"0,35","0,14",NON,ZZ06,ZZ,00,6ème circonscription,1,00,ZZ,ZZ006
1,PETIT,Frédéric,M.,ENS,Ensemble ! (Majorité présidentielle),21929,"37,78","16,76",QUALIF T2,ZZ07,ZZ,00,7ème circonscription,1,00,ZZ,ZZ007
2,HUQUET,Isabelle,Mme,DVC,Divers centre,3861,"6,65","2,95",NON,ZZ07,ZZ,00,7ème circonscription,1,00,ZZ,ZZ007
3,RICHARD,Cécile,Mme,DVG,Divers gauche,3211,"5,53","2,45",NON,ZZ07,ZZ,00,7ème circonscription,1,00,ZZ,ZZ007
4,GEFFRAY,Fanny,Mme,DIV,Divers,245,"0,42","0,19",NON,ZZ07,ZZ,00,7ème circonscription,1,00,ZZ,ZZ007
5,RHARMAOUI-CLAQUIN,Asma,Mme,UG,Union de la gauche,18914,"32,58","14,46",QUALIF T2,ZZ07,ZZ,00,7ème circonscription,1,00,ZZ,ZZ007
6,MIER-GARRIGOU,Dominique,Mme,LR,Les Républicains,2702,"4,65","2,07",NON,ZZ07,ZZ,00,7ème circonscription,1,00,ZZ,ZZ007
7,CHAMBON,Jérôme,M.,DIV,Divers,1948,"3,36","1,49",NON,ZZ07,ZZ,00,7ème circonscription,1,00,ZZ,ZZ007
8,ALEXANDRE,Julie,Mme,REC,Reconquête !,720,"1,24","0,55",NON,ZZ07,ZZ,00,7ème circonscription,1,00,ZZ,ZZ007
9,NAVEYS--DUMAS,Mathilde,Mme,RN,Rassemblement National,4520,"7,79","3,46",NON,ZZ07,ZZ,00,7ème circonscription,1,00,ZZ,ZZ007
1,CHARTRAIN,Valérie,Mme,DVG,Divers gauche,457,"1,41","0,31",NON,ZZ08,ZZ,00,8ème circonscription,1,00,ZZ,ZZ008
2,LERER,Yaël,Mme,UG,Union de la gauche,7516,"23,14","5,05",NON,ZZ08,ZZ,00,8ème circonscription,1,00,ZZ,ZZ008
3,HABABOU SOLOMON,Philippe,M.,DVD,Divers droite,197,"0,61","0,13",NON,ZZ08,ZZ,00,8ème circonscription,1,00,ZZ,ZZ008
4,SPITALAS,Nicolas,M.,DIV,Divers,299,"0,92","0,20",NON,ZZ08,ZZ,00,8ème circonscription,1,00,ZZ,ZZ008
5,HABIB,Meyer,M.,LR,Les Républicains,11557,"35,58","7,76",QUALIF T2,ZZ08,ZZ,00,8ème circonscription,1,00,ZZ,ZZ008
6,YADAN,Caroline,Mme,ENS,Ensemble ! (Majorité présidentielle),7855,"24,18","5,27",QUALIF T2,ZZ08,ZZ,00,8ème circonscription,1,00,ZZ,ZZ008
7,BIZET,David,M.,DIV,Divers,188,"0,58","0,13",NON,ZZ08,ZZ,00,8ème circonscription,1,00,ZZ,ZZ008
8,SIGOURA,Benjamin,M.,DIV,Divers,15,"0,05","0,01",NON,ZZ08,ZZ,00,8ème circonscription,1,00,ZZ,ZZ008
9,NEFFATI,Gilles,M.,DVC,Divers centre,1025,"3,16","0,69",NON,ZZ08,ZZ,00,8ème circonscription,1,00,ZZ,ZZ008
10,ASSOULINE,Aurelie,Mme,LR,Les Républicains,1329,"4,09","0,89",NON,ZZ08,ZZ,00,8ème circonscription,1,00,ZZ,ZZ008
11,BENSOUSSAN,Guillaume,M.,REC,Reconquête !,2044,"6,29","1,37",NON,ZZ08,ZZ,00,8ème circonscription,1,00,ZZ,ZZ008
1,SACKHO,Kourtoum,Mme,DVD,Divers droite,117,"0,33","0,09",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
2,OUDRHIRI,Hassan,M.,DIV,Divers,236,"0,66","0,18",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
3,BOUDJEKADA,Ismaël,M.,DVG,Divers gauche,1421,"3,96","1,09",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
4,TINAUGUS,Edouard,M.,DVG,Divers gauche,20,"0,06","0,02",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
5,SIDIBÉ,Gabriel Marie,M.,DIV,Divers,84,"0,23","0,06",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
6,TAHIRI,Rachid,M.,DVC,Divers centre,1102,"3,07","0,85",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
7,DIANIFABA,Abdoulai,M.,DIV,Divers,8,"0,02","0,01",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
8,DJOUADI,Samira,Mme,ENS,Ensemble ! (Majorité présidentielle),5634,"15,70","4,32",QUALIF T2,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
9,BEN CHEÏKH,Karim,M.,UG,Union de la gauche,18505,"51,57","14,19",QUALIF T2,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
10,BADREDDINE,Jihad,M.,LR,Les Républicains,1242,"3,46","0,95",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
11,KHALFI,Seddik,M.,DVG,Divers gauche,1171,"3,26","0,90",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
12,FADILI,Hachim,M.,DSV,Droite souverainiste,53,"0,15","0,04",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
13,DUCELLIER,Régina,Mme,DVC,Divers centre,693,"1,93","0,53",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
14,DAVID,Khadija,Mme,DVG,Divers gauche,11,"0,03","0,01",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
15,PERIMONY,Sébastien,M.,DIV,Divers,172,"0,48","0,13",NON,ZZ09,ZZ,00,9ème circonscription,1,00,ZZ,ZZ009
