NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCirc,CodDept,CodeReg,CodCirc2
1,LENORMAND,Stéphane,M.,DVD,Divers droite,97501,975,00,ZS001
2,BEAUMONT,Frédéric,M.,SOC,Parti socialiste,97501,975,00,ZS001
1,SANQUER,Nicole,Mme,DVD,Divers droite,98702,987,00,ZP002
5,CHAILLOUX,Steve,M.,UG,Union de la gauche,98702,987,00,ZP002
3,REID ABERLOT,Mereana,Mme,UG,Union de la gauche,98703,987,00,ZP003
4,HAITI EPOUSE FLOSSE,Pascale,Mme,DVD,Divers droite,98703,987,00,ZP003
2,METZDORF,Nicolas,M.,DVD,Divers droite,98801,988,00,ZN001
4,NAISSELINE,Omayra Lisa Meun,Mme,REG,Régionaliste,98801,988,00,ZN001
2,TJIBAOU,Emmanuel,M.,REG,Régionaliste,98802,988,00,ZN002
6,PONGA,Alcide,M.,DVD,Divers droite,98802,988,00,ZN002
1,QUESTEL,Alexandra,Mme,DVD,Divers droite,ZX01,ZX,00,ZX001
8,GUMBS,Frantz,M.,DVC,Divers centre,ZX01,ZX,00,ZX001
1,LESCURE,Roland,M.,ENS,Ensemble ! (Majorité présidentielle),ZZ01,ZZ,00,ZZ001
8,LARAICHI,Oussama,M.,UG,Union de la gauche,ZZ01,ZZ,00,ZZ001
6,CAROIT,Eléonore,Mme,ENS,Ensemble ! (Majorité présidentielle),ZZ02,ZZ,00,ZZ002
7,CORONADO,Sergio,M.,UG,Union de la gauche,ZZ02,ZZ,00,ZZ002
1,MINVIELLE,Charlotte,Mme,UG,Union de la gauche,ZZ03,ZZ,00,ZZ003
5,CAURE,Vincent,M.,ENS,Ensemble ! (Majorité présidentielle),ZZ03,ZZ,00,ZZ003
2,GONDARD,Cécilia,Mme,UG,Union de la gauche,ZZ04,ZZ,00,ZZ004
9,ANGLADE,Pieyre-Alexandre,M.,ENS,Ensemble ! (Majorité présidentielle),ZZ04,ZZ,00,ZZ004
2,DA SILVA,Maxime,M.,UG,Union de la gauche,ZZ05,ZZ,00,ZZ005
8,VOJETTA,Stéphane,M.,DVC,Divers centre,ZZ05,ZZ,00,ZZ005
3,FERRACCI,Marc,M.,ENS,Ensemble ! (Majorité présidentielle),ZZ06,ZZ,00,ZZ006
4,DELIMI,Halima,Mme,UG,Union de la gauche,ZZ06,ZZ,00,ZZ006
1,PETIT,Frédéric,M.,ENS,Ensemble ! (Majorité présidentielle),ZZ07,ZZ,00,ZZ007
5,RHARMAOUI-CLAQUIN,Asma,Mme,UG,Union de la gauche,ZZ07,ZZ,00,ZZ007
5,HABIB,Meyer,M.,LR,Les Républicains,ZZ08,ZZ,00,ZZ008
6,YADAN,Caroline,Mme,ENS,Ensemble ! (Majorité présidentielle),ZZ08,ZZ,00,ZZ008
8,DJOUADI,Samira,Mme,ENS,Ensemble ! (Majorité présidentielle),ZZ09,ZZ,00,ZZ009
9,BEN CHEÏKH,Karim,M.,UG,Union de la gauche,ZZ09,ZZ,00,ZZ009
3,LAKRAFI,Amélia,Mme,ENS,Ensemble ! (Majorité présidentielle),ZZ10,ZZ,00,ZZ010
6,DI MEO,Elsa,Mme,UG,Union de la gauche,ZZ10,ZZ,00,ZZ010
2,PAJOT,Franck,M.,UG,Union de la gauche,ZZ11,ZZ,00,ZZ011
13,GENETET,Anne,Mme,ENS,Ensemble ! (Majorité présidentielle),ZZ11,ZZ,00,ZZ011
4,SERVA,Olivier,M.,DVG,Divers gauche,97101,971,01,ZA001
7,LERUS,Chantal,Mme,DVG,Divers gauche,97101,971,01,ZA001
6,BAPTISTE,Christian,M.,DVG,Divers gauche,97102,971,01,ZA002
14,PETIT,Laurent,M.,RN,Rassemblement National,97102,971,01,ZA002
2,MATHIASIN,Max,M.,DVG,Divers gauche,97103,971,01,ZA003
10,TOLASSY,Rody,M.,RN,Rassemblement National,97103,971,01,ZA003
1,CALIFER,Elie,M.,SOC,Parti socialiste,97104,971,01,ZA004
6,LINON,Jennifer,Mme,DVC,Divers centre,97104,971,01,ZA004
2,EDMOND-MARIETTE,Philippe,M.,REG,Régionaliste,97201,972,02,ZB001
8,WILLIAM,Jiovanny,M.,REG,Régionaliste,97201,972,02,ZB001
4,NADEAU,Marcellin,M.,REG,Régionaliste,97202,972,02,ZB002
5,MONPLAISIR,Yan,M.,DVD,Divers droite,97202,972,02,ZB002
2,BELLAY,Beatrice,Mme,SOC,Parti socialiste,97203,972,02,ZB003
3,HAJJAR,Johnny,M.,DVG,Divers gauche,97203,972,02,ZB003
4,NILOR,Jean-Philippe,M.,REG,Régionaliste,97204,972,02,ZB004
7,ROY-LARENTRY,Grégory Michel,M.,RN,Rassemblement National,97204,972,02,ZB004
1,CASTOR,Jean-Victor,M.,REG,Régionaliste,97301,973,03,ZC001
3,CHONG SIT,Boris,M.,DVD,Divers droite,97301,973,03,ZC001
5,RIMANE,Davy,M.,REG,Régionaliste,97302,973,03,ZC002
1,NAILLET,Philippe,M.,UG,Union de la gauche,97401,974,04,ZD001
3,MOREL,Jean Jacques,M.,RN,Rassemblement National,97401,974,04,ZD001
1,BEGUE,Christelle,Mme,RN,Rassemblement National,97402,974,04,ZD002
5,LEBON,Karine,Mme,UG,Union de la gauche,97402,974,04,ZD002
1,RIVIERE,Joseph,M.,RN,Rassemblement National,97403,974,04,ZD003
3,CHAUSSALET,Alexis,M.,DVG,Divers gauche,97403,974,04,ZD003
2,KBIDI,Emeline,Mme,DVG,Divers gauche,97404,974,04,ZD004
6,RIVIERE,Jonathan,M.,RN,Rassemblement National,97404,974,04,ZD004
5,RATENON,Jean-Hugues,M.,DVG,Divers gauche,97405,974,04,ZD005
9,DORO,Joan,M.,RN,Rassemblement National,97405,974,04,ZD005
3,MAILLOT,Frédéric,M.,DVG,Divers gauche,97406,974,04,ZD006
7,LEGROS,Valérie,Mme,RN,Rassemblement National,97406,974,04,ZD006
9,GAILLARD,Perceval,M.,UG,Union de la gauche,97407,974,04,ZD007
10,POUDROUX,Jean-Luc,M.,RN,Rassemblement National,97407,974,04,ZD007
5,KAMARDINE,Mansour,M.,LR,Les Républicains,97602,976,06,ZM002
8,BAMANA,Anchya,Mme,RN,Rassemblement National,97602,976,06,ZM002
1,KEMPF,Raphaël,M.,UG,Union de la gauche,7501,75,11,75001
6,MAILLARD,Sylvain,M.,ENS,Ensemble ! (Majorité présidentielle),7501,75,11,75001
7,LAUSSUCQ,Jean,M.,ENS,Ensemble ! (Majorité présidentielle),7502,75,11,75002
12,ROSSET,Marine,Mme,UG,Union de la gauche,7502,75,11,75002
1,GUERINI,Stanislas,M.,ENS,Ensemble ! (Majorité présidentielle),7503,75,11,75003
2,BALAGE EL MARIKY,Léa,Mme,UG,Union de la gauche,7503,75,11,75003
1,PANOSYAN-BOUVET,Astrid,Mme,ENS,Ensemble ! (Majorité présidentielle),7504,75,11,75004
10,BOULARD,Geoffroy,M.,DVD,Divers droite,7504,75,11,75004
4,HERVIEU,Céline,Mme,UG,Union de la gauche,7511,75,11,75011
7,GATEL,Maud,Mme,ENS,Ensemble ! (Majorité présidentielle),7511,75,11,75011
2,GREGOIRE,Olivia,Mme,ENS,Ensemble ! (Majorité présidentielle),7512,75,11,75012
4,MALAISÉ,Celine,Mme,UG,Union de la gauche,7512,75,11,75012
6,AMIEL,David,M.,ENS,Ensemble ! (Majorité présidentielle),7513,75,11,75013
10,NIAKATÉ,Aminata,Mme,UG,Union de la gauche,7513,75,11,75013
2,HADDAD,Benjamin,M.,ENS,Ensemble ! (Majorité présidentielle),7514,75,11,75014
5,PIQUET,Louis,M.,UXD,Union de l'extrême droite,7514,75,11,75014
9,SIMONNET,Danielle,Mme,DVG,Divers gauche,7515,75,11,75015
11,VERZELETTI,Céline,Mme,UG,Union de la gauche,7515,75,11,75015
3,SAINT-MARTIN,Arnaud,M.,UG,Union de la gauche,7701,77,11,77001
6,LUQUET,Aude,Mme,ENS,Ensemble ! (Majorité présidentielle),7701,77,11,77001
8,MICHEL,Théo,M.,UXD,Union de l'extrême droite,7701,77,11,77001
3,DIMITROVA,Ivanka,Mme,RN,Rassemblement National,7702,77,11,77002
7,VALLETOUX,Frédéric,M.,ENS,Ensemble ! (Majorité présidentielle),7702,77,11,77002
1,BRUN,Davy,M.,RN,Rassemblement National,7703,77,11,77003
4,THIERIOT,Jean-Louis,M.,LR,Les Républicains,7703,77,11,77003
4,PERIGAULT,Isabelle,Mme,LR,Les Républicains,7704,77,11,77004
5,LIMONGI,Julien,M.,RN,Rassemblement National,7704,77,11,77004
3,FONTANA,Philippe,M.,UXD,Union de l'extrême droite,7705,77,11,77005
5,RIESTER,Franck,M.,ENS,Ensemble ! (Majorité présidentielle),7705,77,11,77005
3,BENTOUNSI,Amal,Mme,UG,Union de la gauche,7706,77,11,77006
4,ROULLAUD,Béatrice,Mme,RN,Rassemblement National,7706,77,11,77006
4,SOUDAIS,Ersilia,Mme,UG,Union de la gauche,7707,77,11,77007
8,LAFFITE,Agnès,Mme,RN,Rassemblement National,7707,77,11,77007
1,BONNET,Arnaud,M.,UG,Union de la gauche,7708,77,11,77008
2,GHOMI,Hadrien,M.,ENS,Ensemble ! (Majorité présidentielle),7708,77,11,77008
6,MOURGERES,Manon,Mme,RN,Rassemblement National,7708,77,11,77008
3,THIÉBAULT-MARTINEZ,Céline,Mme,UG,Union de la gauche,7709,77,11,77009
4,VANACKER,Morgann,M.,RN,Rassemblement National,7709,77,11,77009
1,LAISNEY,Maxime,M.,UG,Union de la gauche,7710,77,11,77010
5,BRACH,Pryscillia,Mme,RN,Rassemblement National,7710,77,11,77010
1,RODWELL,Charles,M.,ENS,Ensemble ! (Majorité présidentielle),7801,78,11,78001
6,RAMAGE,Sébastien,M.,UG,Union de la gauche,7801,78,11,78001
7,JACQMIN,Anne,Mme,RN,Rassemblement National,7801,78,11,78001
2,BARROT,Jean-Noël,M.,ENS,Ensemble ! (Majorité présidentielle),7802,78,11,78002
6,BRAULT,Gaetan,M.,RN,Rassemblement National,7802,78,11,78002
1,PIRON,Béatrice,Mme,ENS,Ensemble ! (Majorité présidentielle),7803,78,11,78003
7,SALVINO,Valentin,M.,UXD,Union de l'extrême droite,7803,78,11,78003
1,LEBEC,Marie,Mme,ENS,Ensemble ! (Majorité présidentielle),7804,78,11,78004
2,MOURTOUX,Jean-François,M.,UXD,Union de l'extrême droite,7804,78,11,78004
6,BOURDON,Céline,Mme,UG,Union de la gauche,7804,78,11,78004
2,BENYETTOU,Yassine,M.,UG,Union de la gauche,7805,78,11,78005
4,MYARD,Jacques,M.,DVD,Divers droite,7805,78,11,78005
7,BRAUN-PIVET,Yaël,Mme,ENS,Ensemble ! (Majorité présidentielle),7805,78,11,78005
4,SAUGER,Mélinda,Mme,UG,Union de la gauche,7806,78,11,78006
6,LELANDAIS,Sophie,Mme,RN,Rassemblement National,7806,78,11,78006
8,POUZYREFF,Natalia,Mme,ENS,Ensemble ! (Majorité présidentielle),7806,78,11,78006
2,DE ROZIERES,Babette,Mme,UXD,Union de l'extrême droite,7807,78,11,78007
4,HAI,Nadia,Mme,ENS,Ensemble ! (Majorité présidentielle),7807,78,11,78007
7,ROUSSEAU,Aurélien,M.,UG,Union de la gauche,7807,78,11,78007
2,NAUTH,Cyril,M.,RN,Rassemblement National,7808,78,11,78008
7,LUCAS,Benjamin,M.,UG,Union de la gauche,7808,78,11,78008
1,MORIN,Laurent,M.,RN,Rassemblement National,7809,78,11,78009
