CodCirc2,Inscrits_t2,Inscrits_t1,NbVoix_t1,NbVoix_t2,participation_t1,participation_t2,participation_var
01001,86854,86843,38314,60005,0.44118696958879816,0.6908720381329587,0.5659393539588802
01002,101905,101874,45603,70739,0.4476412038400377,0.6941661351258525,0.5507199274129135
01003,84168,84130,34672,52317,0.41212409366456676,0.6215782720273738,0.5082308498403021
01004,96133,96119,44588,64623,0.4638833113120195,0.6722249383666379,0.44912507515167466
01005,77919,77900,32703,47004,0.41980744544287546,0.603241828052208,0.4369488550061771
02002,73181,73165,37784,45342,0.5164217863732659,0.6195870512838032,0.19976938934944588
03001,88553,88547,39859,56250,0.45014512067037843,0.6352128104073267,0.41112894761879515
03002,79874,79877,40496,53134,0.5069794809519637,0.6652227257931241,0.3121294860770787
03003,80102,80068,41734,52603,0.5212319528400859,0.6567002072357744,0.2599001340143283
04001,61472,61473,30073,39741,0.4892066435670945,0.6464894586153045,0.32150588532765645
04002,66674,66671,33088,42489,0.4962877412968157,0.6372649008609053,0.2840633524328282
05001,60057,60047,28340,39197,0.47196362849101536,0.6526633031952978,0.3828677969995782
05002,54530,54517,25776,36396,0.47280664746776235,0.6674491105813314,0.4116745484777484
06001,81883,81879,45866,50036,0.5601680528584863,0.611067010246327,0.09086372764049666
06002,90411,90381,40015,52166,0.44273685841050664,0.576987313490615,0.30322854880907846
06003,91728,91724,39737,53781,0.43322358379486287,0.5863095238095238,0.3533647422277666
06007,96288,96284,40310,64627,0.418657305471314,0.6711843635759388,0.6031832116731752
06008,84401,84414,38294,53290,0.4536451299547468,0.6313906233338468,0.39181616122900054
06009,82404,82386,41255,53613,0.5007525550457602,0.650611620795107,0.2992677006623605
07001,79596,79596,42545,53722,0.5345117845117845,0.6749334137393839,0.2627100716888
07002,97151,97138,41468,64298,0.42689781547900923,0.6618356990664018,0.5503375165407578
07003,81011,81022,49761,58917,0.6141665226728543,0.7272716050906667,0.1841602859198166
08001,70667,70664,29974,45642,0.4241763840144911,0.6458743119136231,0.5226550469428259
08002,60275,60281,26244,36695,0.4353610590401619,0.6087930319369557,0.39836354054990175
08003,54491,54484,30658,35827,0.562697305631011,0.6574847222477106,0.16845187575654852
09002,62062,62051,36589,41368,0.5896601182897939,0.6665592472044085,0.13041263353140975
10002,73977,73976,36218,48726,0.4895912187736563,0.658664179407113,0.34533495322272323
10003,65494,65463,28262,39224,0.43172479110337136,0.598894555226433,0.38721372403892085
11001,99232,99219,45391,60300,0.45748294177526483,0.6076668816510803,0.32828314711150974
11002,92846,92832,45007,57665,0.4848220441227163,0.6210822221743533,0.2810519441173498
11003,89852,89858,48372,60518,0.5383160097041999,0.673529804567511,0.25117921894541073
12001,78351,78345,41935,53253,0.5352607058523199,0.6796722441321744,0.2697966368554954
12002,68221,68217,31660,43243,0.46410718735798995,0.6338664047727239,0.3657758854826567
12003,72268,72271,34558,49257,0.4781724343097508,0.6815879780815852,0.42540207083552994
13001,82816,82792,38616,50671,0.4664218765098077,0.6118503670788253,0.31179603250440513
13002,84461,84440,35576,53466,0.4213169114163903,0.6330258936077006,0.502493435356258
13003,77883,77838,36580,44903,0.4699504098255351,0.5765443036349396,0.22681945069263065
13005,75491,75461,25209,45925,0.33406660394110865,0.6083506643176008,0.8210460343556061
13006,79715,79685,33270,47282,0.41751898098763884,0.5931380543185097,0.4206253639426043
13008,103695,103683,49550,68209,0.4778989805464734,0.6577848497998939,0.37640982001619383
13009,101449,101433,46055,62115,0.4540435558447448,0.6122780904691028,0.34850078277174035
13010,110783,110764,54291,74332,0.4901502293163844,0.6709693725571613,0.3689055567574995
13011,93657,93649,41898,58868,0.44739399246121153,0.6285488537962992,0.4049112513525617
13013,94828,94838,49055,58791,0.5172504692211982,0.6199751128358713,0.1985974875370169
13014,99995,99986,61829,69455,0.6183765727201809,0.6945847292364619,0.12323907450285265
13015,110725,110706,52807,67113,0.47700214983831046,0.6061232783924136,0.27069296982806357
13016,91707,91684,46075,57655,0.5025413376379739,0.6286870140774423,0.25101552248890324
14001,73292,73296,40846,47920,0.5572746125300153,0.6538230639087486,0.17325112109522678
14002,69029,69012,31661,43584,0.4587752854576016,0.6313868084428284,0.3762441623529411
14003,79972,79965,40719,52107,0.50921027949728,0.6515655479417797,0.2795608694016163
14004,104867,104874,47852,70503,0.4562808703777867,0.6723087339201084,0.47345369391326253
14005,92950,92946,37209,63894,0.40032922342005034,0.6874018289402904,0.7170913056702475
14006,96357,96333,43290,63813,0.4493787175734172,0.6622559855537221,0.47371461899622824
15001,62321,62314,29976,42998,0.4810475976506082,0.689943999614897,0.43425308219918235
15002,52307,52310,24306,35552,0.46465303001338176,0.679679583994494,0.46276800126520135
16001,84238,84158,51711,56755,0.6144513890539224,0.6737458154277167,0.09649978408396254
16002,83330,83360,36531,54003,0.43823176583493284,0.6480619224768991,0.47881092380921153
16003,90676,90666,41629,57658,0.4591467584320473,0.6358683664916847,0.3848913333573971
17001,111891,111882,52102,72749,0.46568706315582487,0.6501774047957387,0.39616806271077576
17002,113648,113630,47889,71140,0.4214468010208572,0.6259679008869492,0.485283313031887
17003,83737,83726,38396,52819,0.45859111864892627,0.6307725378267671,0.3754573784270212
17004,94554,94544,46135,61803,0.48797385344389915,0.6536264991433467,0.3394703313104708
17005,120317,120296,63420,81984,0.5271995743831881,0.6813999684167658,0.2924896026594648
18001,70391,70401,33061,45047,0.4696098066788824,0.6399539713883877,0.3627355355165871
18002,68481,68476,29867,40960,0.4361674163210468,0.5981221068617573,0.37131313454534065
18003,83666,83645,40492,54180,0.48409349034610555,0.6475748810747496,0.3377062364787471
19001,91753,91732,63833,66713,0.695864038721493,0.7270933920416771,0.0448785273881398
19002,93279,93265,45706,62314,0.4900659411354742,0.6680388940704768,0.36316123606272743
21001,70511,70495,41478,50386,0.5883821547627491,0.714583540156855,0.21448880523066416
21002,72032,72011,30904,45682,0.429156656621905,0.6341903598400711,0.4777595781272119
21003,72452,72426,31939,46201,0.44098804296799493,0.6376773588030696,0.4460196120314073
21004,67452,67447,36369,46660,0.5392233902175041,0.691751171203226,0.28286566152888426
21005,85570,85576,44648,57310,0.5217350659063289,0.6697440691831249,0.28368613296038103
22001,90642,90639,58428,65591,0.6446231754542746,0.7236270161735178,0.12255817619893672
22002,104528,104517,49437,74054,0.47300439163006974,0.7084608908617787,0.4977892455084354
22003,89422,89421,38865,61235,0.43462944945818094,0.6847867415177473,0.5755645236911999
22004,81561,81566,37526,51566,0.460069146458083,0.6322384472971151,0.3742248359067444
22005,107757,107761,76005,78767,0.7053108267369457,0.7309687537700567,0.036378184001250924
23001,89953,89980,48298,62391,0.5367637252722828,0.693595544339822,0.29218036108528667
24001,78107,78107,35739,48269,0.45756462288911365,0.6179855838785256,0.35059738660846707
24002,84293,84286,40505,54283,0.4805661675723133,0.6439799271588388,0.34004424492062424
24003,66951,66947,32693,45103,0.488341523892034,0.6736717898164329,0.37950953760256745
24004,89951,89941,44568,59934,0.49552484406444225,0.6662960945403609,0.3446270202623989
25001,75796,75793,50294,53415,0.6635705144274537,0.7047205657290622,0.06201307985649995
25002,78894,78875,36055,51802,0.4571156893819334,0.656602529976931,0.4364033990273315
25003,64751,64748,31601,42444,0.488061407302156,0.6554956680205711,0.34305982446745165
25004,65484,65469,31695,40607,0.48412225633505934,0.6201056746686213,0.28088652515791046
25005,85273,85263,39861,56749,0.4675064213081876,0.6654978715419887,0.42350530647210527
26001,77660,77635,32979,48790,0.4247955174856701,0.628251352047386,0.4789500505230242
26002,97164,97115,42149,57914,0.43401122380682694,0.5960438022312791,0.3733372999048772
26003,110848,110847,56637,76843,0.510947522260413,0.6932285652424942,0.35675100678769645
26004,100717,100702,61478,71137,0.6104943298047705,0.7063057875035992,0.156940782282889
27001,87406,87391,41690,54872,0.47705141261685985,0.6277829897261058,0.3159650576913915
27002,79125,79112,34135,49468,0.43147689351805035,0.6251879936808846,0.4489489543308085
27003,85653,85635,40249,55308,0.4700064226075787,0.6457216910090715,0.3738571643907138
27004,93488,93502,46832,60409,0.5008662916301255,0.6461684922129043,0.2901017756852362
27005,89826,89812,40933,57372,0.45576314969046455,0.6387014895464564,0.40138905477600817
28001,91587,91565,40681,59157,0.44428548025992465,0.6459104458056274,0.45381848947155357
28002,75580,75563,30017,46149,0.397244683244445,0.6105980418100027,0.5370829807538806
28003,71161,71148,35617,45293,0.5006043739809973,0.6364862775958742,0.2714357098686373
28004,67367,67351,36090,43567,0.5358495048328904,0.6467112978164383,0.2068897927191724
29001,92349,92336,60808,68177,0.6585513775775429,0.7382537980920205,0.12102688298619935
